corpus_id,composition_id,composition_name,word_index,c_word,r_word
BOSCO,1,Agnus sei,1,uuPu,jjb
BOSCO,1,Agnus sei,2,pppA,fsb
BOSCO,1,Agnus sei,3,uuPu,jjb
BOSCO,1,Agnus sei,4,upPPAupu,jjbjeb
BOSCO,1,Agnus sei,5,PupuP,jjj
BOSCO,1,Agnus sei,6,ppAu,ejj
BOSCO,1,Agnus sei,7,upu,ejb
BOSCO,1,Agnus sei,8,pppAu,jjj
BOSCO,1,Agnus sei,9,upuPpppp,ejbjbj
BOSCO,1,Agnus sei,10,pPpuPPsuu,bjpjlb
BOSCO,1,Agnus sei,11,PP,ob
BOSCO,1,Agnus sei,12,pPpuPPsuu,bjpjlb
BOSCO,1,Agnus sei,13,PP,ob
BOSCO,1,Agnus sei,14,au,eee
BOSCO,1,Agnus sei,15,au,eee
BOSCO,1,Agnus sei,16,au,eee
BOSCO,1,Agnus sei,17,au,eee
BOSCO,1,Agnus sei,18,uuPA,ejbb
BOSCO,2,Bala com bala,1,ppAu,uh
BOSCO,2,Bala com bala,2,AppAu,pv
BOSCO,2,Bala com bala,3,AppAu,vh
BOSCO,2,Bala com bala,4,AppAu,pv
BOSCO,2,Bala com bala,5,ppAppaa,urn
BOSCO,2,Bala com bala,6,a,gac
BOSCO,2,Bala com bala,7,uuupp,rnc
BOSCO,2,Bala com bala,8,AAaAaAa,gnnng
BOSCO,2,Bala com bala,9,uuAapu,utc
BOSCO,2,Bala com bala,10,uaa,gng
BOSCO,3,A nivel de,1,uaupua,ntm
BOSCO,3,A nivel de,2,psu,nn
BOSCO,3,A nivel de,3,SuauaaA,gjrn
BOSCO,3,A nivel de,4,pauu,nng
BOSCO,3,A nivel de,5,uauauau,nnnn
BOSCO,3,A nivel de,6,usAa,nnc
BOSCO,3,A nivel de,7,uuauapPs,gnrnab
BOSCO,3,A nivel de,8,p,bg
BOSCO,3,A nivel de,9,PPauapPsS,urnabb
BOSCO,3,A nivel de,10,PPauapPsA,urnabb
BOSCO,3,A nivel de,11,Suauaup,urn
BOSCO,3,A nivel de,12,SausA,jjn
BOSCO,3,A nivel de,13,APau,nanab
BOSCO,3,A nivel de,14,usA,nn
BOSCO,3,A nivel de,15,uauauSppa,jrnnc
BOSCO,3,A nivel de,16,suA,nn
BOSCO,3,A nivel de,17,uauP,nr
BOSCO,3,A nivel de,18,pPaP,uj
BOSCO,4,De frente pro crime,1,Auuuup,nnmb
BOSCO,4,De frente pro crime,2,Au,gn
BOSCO,4,De frente pro crime,3,Auuuup,nnmb
BOSCO,4,De frente pro crime,4,uA,gn
BOSCO,4,De frente pro crime,5,Auuuup,nnmb
BOSCO,4,De frente pro crime,6,uA,gn
BOSCO,4,De frente pro crime,7,Auuuup,nnmb
BOSCO,4,De frente pro crime,8,Au,gn
BOSCO,4,De frente pro crime,9,uAuuuAsA,pvbn
BOSCO,4,De frente pro crime,10,puuuuaa,jprc
BOSCO,4,De frente pro crime,11,AuuuAsA,gvbn
BOSCO,4,De frente pro crime,12,puuuuaa,jprc
BOSCO,4,De frente pro crime,13,uAuuuAsA,pvbn
BOSCO,4,De frente pro crime,14,puuuuuaa,jurc
BOSCO,4,De frente pro crime,15,uAuuuAsAAp,pvbnaj
BOSCO,5,Boca de sapo,1,PP,u
BOSCO,5,Boca de sapo,2,uuuApppppp,grrsb
BOSCO,5,Boca de sapo,3,uupp,grc
BOSCO,5,Boca de sapo,4,ApppP,jln
BOSCO,5,Boca de sapo,5,uupA,grc
BOSCO,5,Boca de sapo,6,aa,jb
BOSCO,5,Boca de sapo,7,up,nc
BOSCO,5,Boca de sapo,8,uupA,grc
BOSCO,5,Boca de sapo,9,aa,nb
BOSCO,5,Boca de sapo,10,pu,nc
BOSCO,5,Boca de sapo,11,uupAaa,grcj
BOSCO,5,Boca de sapo,12,up,nc
BOSCO,5,Boca de sapo,13,uupA,grc
BOSCO,5,Boca de sapo,14,aa,jb
BOSCO,5,Boca de sapo,15,pu,nc
BOSCO,5,Boca de sapo,16,PPuppu,blnj
BOSCO,5,Boca de sapo,17,Ap,bl
BOSCO,5,Boca de sapo,18,uPPP,rn
BOSCO,5,Boca de sapo,19,aau,nj
BOSCO,5,Boca de sapo,20,pp,bn
BOSCO,6,Bijuterias,1,PPASau,fdkdj
BOSCO,6,Bijuterias,2,PpaaSu,jbjj
BOSCO,6,Bijuterias,3,PPau,kdj
BOSCO,6,Bijuterias,4,PpaaS,jbjb
BOSCO,6,Bijuterias,5,Pau,jj
BOSCO,6,Bijuterias,6,PAASau,fdkdj
BOSCO,6,Bijuterias,7,PpaaS,fdkdb
BOSCO,6,Bijuterias,8,PpaaS,fdkdb
BOSCO,6,Bijuterias,9,PPa,kdb
BOSCO,6,Bijuterias,10,PpaaS,bjjb
BOSCO,6,Bijuterias,11,p,be
BOSCO,6,Bijuterias,12,PAASa,fdkdb
BOSCO,6,Bijuterias,13,PpppAp,eejje
BOSCO,6,Bijuterias,14,pAP,babababa
BOSCO,6,Bijuterias,15,aau,bej
BOSCO,6,Bijuterias,16,AAAas,kdbeb
BOSCO,6,Bijuterias,17,AAA,kdb
BOSCO,6,Bijuterias,18,PPAAApP,fdkdjb
BOSCO,7,Escadas da Penha,1,uAuupP,prcb
BOSCO,7,Escadas da Penha,2,pa,nc
BOSCO,7,Escadas da Penha,3,uAuupP,prn
BOSCO,7,Escadas da Penha,4,p,n
BOSCO,7,Escadas da Penha,5,uSuupp,prn
BOSCO,7,Escadas da Penha,6,upP,rc
BOSCO,7,Escadas da Penha,7,uSuupp,prn
BOSCO,7,Escadas da Penha,8,p,n
BOSCO,7,Escadas da Penha,9,uupPu,fsi
BOSCO,7,Escadas da Penha,10,uupPu,fsi
BOSCO,7,Escadas da Penha,11,uupAauu,fskdb
BOSCO,7,Escadas da Penha,12,PupPu,fsi
BOSCO,7,Escadas da Penha,13,uupau,fsi
BOSCO,7,Escadas da Penha,14,PuAappa,fskdb
BOSCO,7,Escadas da Penha,15,uupPu,fsi
BOSCO,7,Escadas da Penha,16,uupPu,fsi
BOSCO,7,Escadas da Penha,17,uupAauu,fskdb
BOSCO,7,Escadas da Penha,18,uuuAu,fsi
BOSCO,7,Escadas da Penha,19,uuupu,fsi
BOSCO,7,Escadas da Penha,20,uuupu,fsi
BOSCO,7,Escadas da Penha,21,uuupu,fsk
BOSCO,8,Casa de marimbondo,1,AuupP,nngc
BOSCO,8,Casa de marimbondo,2,aas,gebg
BOSCO,8,Casa de marimbondo,3,SuupPp,nnnc
BOSCO,8,Casa de marimbondo,4,Aa,ng
BOSCO,8,Casa de marimbondo,5,AuupPP,nnnc
BOSCO,8,Casa de marimbondo,6,as,nag
BOSCO,8,Casa de marimbondo,7,uAu,gr
BOSCO,8,Casa de marimbondo,8,uAu,uc
BOSCO,8,Casa de marimbondo,9,uAu,gr
BOSCO,8,Casa de marimbondo,10,AuaAau,grnc
BOSCO,8,Casa de marimbondo,11,uuAaAp,gjln
BOSCO,8,Casa de marimbondo,12,AuaApu,grnc
BOSCO,8,Casa de marimbondo,13,auSaAp,gjln
BOSCO,8,Casa de marimbondo,14,AuaApu,grnc
BOSCO,8,Casa de marimbondo,15,uuAaAp,gjln
BOSCO,8,Casa de marimbondo,16,AuaAu,grn
BOSCO,8,Casa de marimbondo,17,au,nc
BOSCO,8,Casa de marimbondo,18,au,gn
BOSCO,8,Casa de marimbondo,19,au,nc
BOSCO,9,Dois pra la dois pra ca,1,APPuppPa,ejjjbab
BOSCO,9,Dois pra la dois pra ca,2,uPPppP,ejbob
BOSCO,9,Dois pra la dois pra ca,3,APPppPa,ejbjbab
BOSCO,9,Dois pra la dois pra ca,4,uPPppp,ejbob
BOSCO,9,Dois pra la dois pra ca,5,APPppAs,ejbjbab
BOSCO,9,Dois pra la dois pra ca,6,uPPppp,ejbob
BOSCO,9,Dois pra la dois pra ca,7,uPPppup,ejbjj
BOSCO,9,Dois pra la dois pra ca,8,uPPppp,ejbob
BOSCO,9,Dois pra la dois pra ca,9,APPppAs,ejbjbab
BOSCO,9,Dois pra la dois pra ca,10,uPPppup,ejboj
BOSCO,9,Dois pra la dois pra ca,11,APPppAs,ejkdbab
BOSCO,9,Dois pra la dois pra ca,12,uPPppPu,ejbjj
BOSCO,9,Dois pra la dois pra ca,13,APPppAs,ejbjbab
BOSCO,9,Dois pra la dois pra ca,14,uPPppP,ejbjb
BOSCO,9,Dois pra la dois pra ca,15,APPpppp,ejbobab
BOSCO,9,Dois pra la dois pra ca,16,uPPuap,ejbjb
BOSCO,9,Dois pra la dois pra ca,17,APPppAs,ejbobab
BOSCO,9,Dois pra la dois pra ca,18,uPPppP,ejbjb
BOSCO,9,Dois pra la dois pra ca,19,ppppppp,ejbjbab
BOSCO,9,Dois pra la dois pra ca,20,pppsAp,ejbjaab
BOSCO,10,Falso brilhante,1,S,gb
BOSCO,10,Falso brilhante,2,pPupPu,osj
BOSCO,10,Falso brilhante,3,PpPupau,usj
BOSCO,10,Falso brilhante,4,AuupPu,gvj
BOSCO,10,Falso brilhante,5,PuupPu,gvj
BOSCO,10,Falso brilhante,6,PpPupa,usb
BOSCO,10,Falso brilhante,7,SuupPu,gvj
BOSCO,10,Falso brilhante,8,pPupPu,osj
BOSCO,10,Falso brilhante,9,PpPups,usb
BOSCO,10,Falso brilhante,10,S,gb
BOSCO,10,Falso brilhante,11,pPuupP,pvb
BOSCO,10,Falso brilhante,12,PpPppPu,uth
BOSCO,10,Falso brilhante,13,pPppPu,psi
BOSCO,10,Falso brilhante,14,PupPu,fsi
BOSCO,10,Falso brilhante,15,SppPu,gth
BOSCO,10,Falso brilhante,16,pPpPaPPaPPu,vsbsb
BOSCO,10,Falso brilhante,17,PpP,gq
BOSCO,10,Falso brilhante,18,PaPP,gsb
BOSCO,10,Falso brilhante,19,SupP,gsb
BOSCO,10,Falso brilhante,20,pppPPpu,usj
BOSCO,10,Falso brilhante,21,PppPPpu,ssj
BOSCO,10,Falso brilhante,22,pppaPu,ulh
BOSCO,10,Falso brilhante,23,PPPPPPPpp,ojkoj
BOSCO,10,Falso brilhante,24,Appppp,ebsbb
BOSCO,10,Falso brilhante,25,APaPPaPPaP,gjessb
BOSCO,10,Falso brilhante,26,Sapppa,ebuj
BOSCO,10,Falso brilhante,27,aApaAp,kdkdb
BOSCO,10,Falso brilhante,28,AAAAa,gsj
BOSCO,10,Falso brilhante,29,ppppAa,sjeb
BOSCO,11,Corsario,1,uuuuuuuuuuuuPa,kdkdkdkdbj
BOSCO,11,Corsario,2,uuuuuuuuuuuuPa,kdkdkdkdkd
BOSCO,11,Corsario,3,uuuuuuuuuuuuPa,kdkdkdkdbj
BOSCO,11,Corsario,4,uuuuuuuuuuuuuPa,kdkdkdkdkdb
BOSCO,11,Corsario,5,up,jb
BOSCO,11,Corsario,6,pPPuppp,ssbb
BOSCO,11,Corsario,7,up,jb
BOSCO,11,Corsario,8,pPPppu,bjbbbb
BOSCO,11,Corsario,9,up,beb
BOSCO,11,Corsario,10,upPPppup,fdkdfdi
BOSCO,11,Corsario,11,pSpupu,eebebj
BOSCO,11,Corsario,12,uSupup,eebebj
BOSCO,11,Corsario,13,pSpp,eebbb
BOSCO,11,Corsario,14,uuuuuuuuuuuuPa,kdkdkdkdbj
BOSCO,11,Corsario,15,uuuuuuuuuuuuPa,kdkdkdkdbj
BOSCO,12,Feminismo no Estacio,1,AppAppAp,grrh
BOSCO,12,Feminismo no Estacio,2,aAuua,grn
BOSCO,12,Feminismo no Estacio,3,ppAppaa,ntng
BOSCO,12,Feminismo no Estacio,4,AAASppp,nrng
BOSCO,12,Feminismo no Estacio,5,suuAuuSppaAuua,nnrrrn
BOSCO,12,Feminismo no Estacio,6,ppAppau,ntng
BOSCO,12,Feminismo no Estacio,7,AAASpppu,nrnn
BOSCO,12,Feminismo no Estacio,8,ppp,babn
BOSCO,12,Feminismo no Estacio,9,aPP,nj
BOSCO,12,Feminismo no Estacio,10,aa,ng
BOSCO,12,Feminismo no Estacio,11,uuppsAp,nrng
BOSCO,12,Feminismo no Estacio,12,uuSusSuupuua,sssrc
BOSCO,12,Feminismo no Estacio,13,PPppAppA,ptrc
BOSCO,12,Feminismo no Estacio,14,uupuuaa,rrcb
BOSCO,12,Feminismo no Estacio,15,PPP,pn
BOSCO,12,Feminismo no Estacio,16,AAp,nj
BOSCO,12,Feminismo no Estacio,17,ppAa,nng
BOSCO,12,Feminismo no Estacio,18,uPpp,llb
BOSCO,12,Feminismo no Estacio,19,ppSuua,grnc
BOSCO,12,Feminismo no Estacio,20,PPP,pn
BOSCO,12,Feminismo no Estacio,21,App,nn
BOSCO,12,Feminismo no Estacio,22,paAuua,pnnc
BOSCO,12,Feminismo no Estacio,23,Suaa,erg
BOSCO,12,Feminismo no Estacio,24,uuupsApu,ntnn
BOSCO,13,Gol anulado,1,Pppaa,nrb
BOSCO,13,Gol anulado,2,s,gag
BOSCO,13,Gol anulado,3,PpPpaAa,nqng
BOSCO,13,Gol anulado,4,uuPppAu,gtlcaab
BOSCO,13,Gol anulado,5,PpPpaP,nrn
BOSCO,13,Gol anulado,6,uPpaaAa,gnnng
BOSCO,13,Gol anulado,7,PpappSp,cnrcg
BOSCO,13,Gol anulado,8,PpPpPps,ghnmab
