corpus_id,composition_id,composition_name,word_index,c_word,r_word
CAETANO,1,A filha da Chiquita Bacana,1,Ppaa,ebje
CAETANO,1,A filha da Chiquita Bacana,2,uauAAa,jjje
CAETANO,1,A filha da Chiquita Bacana,3,APuup,jbje
CAETANO,1,A filha da Chiquita Bacana,4,PPPpppP,jbjej
CAETANO,1,A filha da Chiquita Bacana,5,uppP,ejbb
CAETANO,1,A filha da Chiquita Bacana,6,uppAps,ejjj
CAETANO,1,A filha da Chiquita Bacana,7,uppApa,ejjj
CAETANO,1,A filha da Chiquita Bacana,8,aSpp,jbj
CAETANO,1,A filha da Chiquita Bacana,9,uuup,ejj
CAETANO,1,A filha da Chiquita Bacana,10,aa,bbb
CAETANO,1,A filha da Chiquita Bacana,11,uPpp,ejj
CAETANO,1,A filha da Chiquita Bacana,12,aa,bbb
CAETANO,1,A filha da Chiquita Bacana,13,uPpp,ejj
CAETANO,1,A filha da Chiquita Bacana,14,uAaa,jbj
CAETANO,1,A filha da Chiquita Bacana,15,uupPPpp,jjjj
CAETANO,1,A filha da Chiquita Bacana,16,aa,bbb
CAETANO,1,A filha da Chiquita Bacana,17,pPpPPpp,jjjj
CAETANO,1,A filha da Chiquita Bacana,18,aa,bbb
CAETANO,1,A filha da Chiquita Bacana,19,uPPp,ejj
CAETANO,1,A filha da Chiquita Bacana,20,Appp,jbj
CAETANO,2,A outra banda da terra,1,APpu,ebaaeaee
CAETANO,2,A outra banda da terra,2,Aupup,ebbaabaj
CAETANO,2,A outra banda da terra,3,ApA,ebaaaj
CAETANO,2,A outra banda da terra,4,App,jaaabb
CAETANO,2,A outra banda da terra,5,Appp,jaaabbb
CAETANO,2,A outra banda da terra,6,APPppa,erje
CAETANO,2,A outra banda da terra,7,Apu,ejb
CAETANO,2,A outra banda da terra,8,APPpsSPPppapP,erjrjr
CAETANO,2,A outra banda da terra,9,APPppa,erje
CAETANO,2,A outra banda da terra,10,APPppa,erje
CAETANO,2,A outra banda da terra,11,APPppap,erjj
CAETANO,3,Atras do trio eletrico,1,ppppp,ejq
CAETANO,3,Atras do trio eletrico,2,AAs,nj
CAETANO,3,Atras do trio eletrico,3,AAp,nj
CAETANO,3,Atras do trio eletrico,4,AAapas,ejjj
CAETANO,3,Atras do trio eletrico,5,As,ej
