corpus_id,composition_id,composition_name,chord_index,root,bass,chord_type,chord_symbol,functional_category,key,mode,position
CAETANO,1,A filha da Chiquita Bacana,1,0,0,V0,*,I,0,major,1.0
CAETANO,1,A filha da Chiquita Bacana,2,5,5,V0,*,IV,0,major,2.0
CAETANO,1,A filha da Chiquita Bacana,3,0,0,V0,*,I,0,major,3.0
CAETANO,1,A filha da Chiquita Bacana,4,8,8,V0,*,Np/V,0,major,4.0
CAETANO,1,A filha da Chiquita Bacana,5,7,7,V0,*,V,0,major,5.0
CAETANO,1,A filha da Chiquita Bacana,6,8,8,V0,*,Np/V,0,major,6.0
CAETANO,1,A filha da Chiquita Bacana,7,7,7,V0,*,V,0,major,7.0
CAETANO,1,A filha da Chiquita Bacana,8,6,6,V0,*,Np/IV,0,major,7.5
CAETANO,1,A filha da Chiquita Bacana,9,5,5,V0,*,IV,0,major,8.0
CAETANO,1,A filha da Chiquita Bacana,10,0,0,V0,*,I,0,major,10.0
CAETANO,1,A filha da Chiquita Bacana,11,5,5,V0,*,IV,0,major,12.0
CAETANO,1,A filha da Chiquita Bacana,12,0,0,V0,*,I,0,major,14.0
CAETANO,1,A filha da Chiquita Bacana,13,5,5,V0,*,IV,0,major,16.0
CAETANO,1,A filha da Chiquita Bacana,14,0,0,V0,*,I,0,major,18.0
CAETANO,1,A filha da Chiquita Bacana,15,8,8,Y0,*7,SubV/V,0,major,19.0
CAETANO,1,A filha da Chiquita Bacana,16,7,7,Y0,*7,V,0,major,19.5
CAETANO,1,A filha da Chiquita Bacana,17,0,0,V0,*,I,0,major,20.0
CAETANO,1,A filha da Chiquita Bacana,18,4,4,Y0,*7,V/VI,0,major,22.0
CAETANO,1,A filha da Chiquita Bacana,19,5,5,Y0,*7,IV7,0,major,26.0
CAETANO,1,A filha da Chiquita Bacana,20,7,7,Y0,*7,V,0,major,30.0
CAETANO,1,A filha da Chiquita Bacana,21,0,0,V0,*,I,0,major,32.0
CAETANO,1,A filha da Chiquita Bacana,22,4,4,Y0,*7,V/VI,0,major,34.0
CAETANO,1,A filha da Chiquita Bacana,23,5,5,V0,*,IV,0,major,39.0
CAETANO,1,A filha da Chiquita Bacana,24,0,0,V0,*,I,0,major,43.0
CAETANO,1,A filha da Chiquita Bacana,25,8,8,Y0,*7,SubV/V,0,major,44.0
CAETANO,1,A filha da Chiquita Bacana,26,7,7,Y0,*7,V,0,major,44.5
CAETANO,1,A filha da Chiquita Bacana,27,0,0,V0,*,I,0,major,45.0
CAETANO,2,A outra banda da terra,1,0,0,Z2,*M7.9,I,0,major,1.0
CAETANO,2,A outra banda da terra,2,5,5,z0,*m7,II__X,0,major,2.0
CAETANO,2,A outra banda da terra,3,10,10,Y2,*7.9,SubV/VI,0,major,2.5
CAETANO,2,A outra banda da terra,4,3,3,Z2,*M7.9,bIII7M,0,major,3.0
CAETANO,2,A outra banda da terra,5,8,8,Z0,*M7,bVI7M,0,major,4.0
CAETANO,2,A outra banda da terra,6,2,2,y0,*Ø,IIm7(b5),0,major,5.0
CAETANO,2,A outra banda da terra,7,7,7,Y0,*7,V,0,major,6.0
CAETANO,2,A outra banda da terra,8,7,7,z0,*m7,II__X,0,major,7.0
CAETANO,2,A outra banda da terra,9,0,0,Y2.3,*7(b9),V/IV,0,major,8.0
CAETANO,2,A outra banda da terra,10,5,5,Z0,*M7,IV,0,major,9.0
CAETANO,2,A outra banda da terra,11,5,5,z1,*m6,IVm7,0,major,10.0
CAETANO,2,A outra banda da terra,12,4,4,z0,*m7,II__X,0,major,11.0
CAETANO,2,A outra banda da terra,13,9,9,Y2.3,*7(b9),V/II,0,major,12.0
CAETANO,2,A outra banda da terra,14,2,2,Y1.1,*4.7.9,V/V,0,major,13.0
CAETANO,2,A outra banda da terra,15,4,4,Y1.1,*4.7.9,V/VI,0,major,14.0
CAETANO,2,A outra banda da terra,16,2,2,Y1.1,*4.7.9,V/V,0,major,15.0
