corpus_id,composition_id,composition_name,mode,note_index,scale_degree,note_function
CAETANO,1,A filha da Chiquita Bacana,major,1,5,5
CAETANO,1,A filha da Chiquita Bacana,major,2,6,6
CAETANO,1,A filha da Chiquita Bacana,major,3,5,5
CAETANO,1,A filha da Chiquita Bacana,major,4,3,3
CAETANO,1,A filha da Chiquita Bacana,major,5,1,1
CAETANO,1,A filha da Chiquita Bacana,major,6,6,3
CAETANO,1,A filha da Chiquita Bacana,major,7,1,5
CAETANO,1,A filha da Chiquita Bacana,major,8,3,3
CAETANO,1,A filha da Chiquita Bacana,major,9,1,1
CAETANO,1,A filha da Chiquita Bacana,major,10,3,3
CAETANO,1,A filha da Chiquita Bacana,major,11,5,5
CAETANO,1,A filha da Chiquita Bacana,major,12,#5/b6,1
CAETANO,1,A filha da Chiquita Bacana,major,13,#5/b6,b9/#9
CAETANO,1,A filha da Chiquita Bacana,major,14,5,x
CAETANO,1,A filha da Chiquita Bacana,major,15,4,7
CAETANO,1,A filha da Chiquita Bacana,major,16,5,x
CAETANO,1,A filha da Chiquita Bacana,major,17,#5/b6,1
CAETANO,1,A filha da Chiquita Bacana,major,18,#6/b7,9
CAETANO,1,A filha da Chiquita Bacana,major,19,#5/b6,b9/#9
CAETANO,1,A filha da Chiquita Bacana,major,20,5,x
CAETANO,1,A filha da Chiquita Bacana,major,21,4,7
CAETANO,1,A filha da Chiquita Bacana,major,22,5,1
CAETANO,1,A filha da Chiquita Bacana,major,23,6,3
CAETANO,1,A filha da Chiquita Bacana,major,24,5,x
CAETANO,1,A filha da Chiquita Bacana,major,25,4,1
CAETANO,1,A filha da Chiquita Bacana,major,26,5,5
CAETANO,1,A filha da Chiquita Bacana,major,27,6,3
CAETANO,1,A filha da Chiquita Bacana,major,28,5,x
CAETANO,1,A filha da Chiquita Bacana,major,29,4,1
CAETANO,1,A filha da Chiquita Bacana,major,30,6,3
CAETANO,1,A filha da Chiquita Bacana,major,31,5,5
CAETANO,1,A filha da Chiquita Bacana,major,32,1,1
CAETANO,1,A filha da Chiquita Bacana,major,33,6,3
CAETANO,1,A filha da Chiquita Bacana,major,34,5,x
CAETANO,1,A filha da Chiquita Bacana,major,35,4,1
CAETANO,1,A filha da Chiquita Bacana,major,36,6,3
CAETANO,1,A filha da Chiquita Bacana,major,37,5,5
CAETANO,1,A filha da Chiquita Bacana,major,38,3,3
CAETANO,1,A filha da Chiquita Bacana,major,39,1,1
CAETANO,1,A filha da Chiquita Bacana,major,40,5,5
CAETANO,1,A filha da Chiquita Bacana,major,41,#2/b3,5
CAETANO,1,A filha da Chiquita Bacana,major,42,2,5
CAETANO,1,A filha da Chiquita Bacana,major,43,1,1
CAETANO,1,A filha da Chiquita Bacana,major,44,1,b13
CAETANO,1,A filha da Chiquita Bacana,major,45,7,5
CAETANO,1,A filha da Chiquita Bacana,major,46,2,7
CAETANO,1,A filha da Chiquita Bacana,major,47,7,5
CAETANO,1,A filha da Chiquita Bacana,major,48,#5/b6,3
CAETANO,1,A filha da Chiquita Bacana,major,49,7,5
CAETANO,1,A filha da Chiquita Bacana,major,50,1,x
CAETANO,1,A filha da Chiquita Bacana,major,51,7,x
CAETANO,1,A filha da Chiquita Bacana,major,52,6,3
CAETANO,1,A filha da Chiquita Bacana,major,53,1,5
CAETANO,1,A filha da Chiquita Bacana,major,54,6,3
CAETANO,1,A filha da Chiquita Bacana,major,55,4,1
CAETANO,1,A filha da Chiquita Bacana,major,56,6,3
CAETANO,1,A filha da Chiquita Bacana,major,57,7,x
CAETANO,1,A filha da Chiquita Bacana,major,58,6,x
CAETANO,1,A filha da Chiquita Bacana,major,59,5,5
CAETANO,1,A filha da Chiquita Bacana,major,60,7,3
CAETANO,1,A filha da Chiquita Bacana,major,61,5,1
CAETANO,1,A filha da Chiquita Bacana,major,62,3,13
CAETANO,1,A filha da Chiquita Bacana,major,63,1,1
CAETANO,1,A filha da Chiquita Bacana,major,64,7,x
CAETANO,1,A filha da Chiquita Bacana,major,65,1,1
CAETANO,1,A filha da Chiquita Bacana,major,66,2,x
CAETANO,1,A filha da Chiquita Bacana,major,67,1,b13
CAETANO,1,A filha da Chiquita Bacana,major,68,7,5
CAETANO,1,A filha da Chiquita Bacana,major,69,2,7
CAETANO,1,A filha da Chiquita Bacana,major,70,7,5
CAETANO,1,A filha da Chiquita Bacana,major,71,#5/b6,3
CAETANO,1,A filha da Chiquita Bacana,major,72,2,7
CAETANO,1,A filha da Chiquita Bacana,major,73,#1/b2,x
CAETANO,1,A filha da Chiquita Bacana,major,74,2,7
CAETANO,1,A filha da Chiquita Bacana,major,75,#1/b2,x
CAETANO,1,A filha da Chiquita Bacana,major,76,2,7
CAETANO,1,A filha da Chiquita Bacana,major,77,3,x
CAETANO,1,A filha da Chiquita Bacana,major,78,2,6
CAETANO,1,A filha da Chiquita Bacana,major,79,1,5
CAETANO,1,A filha da Chiquita Bacana,major,80,3,7
CAETANO,1,A filha da Chiquita Bacana,major,81,1,5
CAETANO,1,A filha da Chiquita Bacana,major,82,6,3
CAETANO,1,A filha da Chiquita Bacana,major,83,1,5
CAETANO,1,A filha da Chiquita Bacana,major,84,2,x
CAETANO,1,A filha da Chiquita Bacana,major,85,3,3
CAETANO,1,A filha da Chiquita Bacana,major,86,2,x
CAETANO,1,A filha da Chiquita Bacana,major,87,1,1
CAETANO,1,A filha da Chiquita Bacana,major,88,3,3
CAETANO,1,A filha da Chiquita Bacana,major,89,#2/b3,5
CAETANO,1,A filha da Chiquita Bacana,major,90,2,5
CAETANO,1,A filha da Chiquita Bacana,major,91,1,1
CAETANO,2,A outra banda da terra,major,1,3,3
CAETANO,2,A outra banda da terra,major,2,5,5
CAETANO,2,A outra banda da terra,major,3,#5/b6,3
CAETANO,2,A outra banda da terra,major,4,5,13
CAETANO,2,A outra banda da terra,major,5,#2/b3,1
CAETANO,2,A outra banda da terra,major,6,5,3
CAETANO,2,A outra banda da terra,major,7,5,7
CAETANO,2,A outra banda da terra,major,8,4,6
CAETANO,2,A outra banda da terra,major,9,#2/b3,5
CAETANO,2,A outra banda da terra,major,10,2,1
CAETANO,2,A outra banda da terra,major,11,4,3
CAETANO,2,A outra banda da terra,major,12,4,7
CAETANO,2,A outra banda da terra,major,13,3,13
CAETANO,2,A outra banda da terra,major,14,5,1
CAETANO,2,A outra banda da terra,major,15,5,5
CAETANO,2,A outra banda da terra,major,16,4,1
CAETANO,2,A outra banda da terra,major,17,6,3
CAETANO,2,A outra banda da terra,major,18,5,x
CAETANO,2,A outra banda da terra,major,19,4,1
CAETANO,2,A outra banda da terra,major,20,3,1
CAETANO,2,A outra banda da terra,major,21,6,11
CAETANO,2,A outra banda da terra,major,22,5,x
CAETANO,2,A outra banda da terra,major,23,4,b13
CAETANO,2,A outra banda da terra,major,24,3,5
CAETANO,2,A outra banda da terra,major,25,6,1
CAETANO,2,A outra banda da terra,major,26,7,x
CAETANO,2,A outra banda da terra,major,27,1,x
CAETANO,2,A outra banda da terra,major,28,7,13
CAETANO,2,A outra banda da terra,major,29,6,5
