corpus_id,composition_id,composition_name,word_index,c_word,r_word
CHICO,1,A banda,1,uuuppp,ejjj
CHICO,1,A banda,2,uuuppS,ejjj
CHICO,1,A banda,3,uppPPp,ejjj
CHICO,1,A banda,4,uppPPp,ejjj
CHICO,1,A banda,5,uuuppp,ejjj
CHICO,1,A banda,6,uuuppS,ejjj
CHICO,1,A banda,7,uppPPp,ejjj
CHICO,1,A banda,8,uppPPp,ejjj
CHICO,1,A banda,9,APPuuuuppA,ejjjjj
CHICO,1,A banda,10,uu,ej
CHICO,1,A banda,11,PPPuuuuppA,ejjjjj
CHICO,1,A banda,12,uu,ej
CHICO,1,A banda,13,PppuuPPppA,ejjjjj
CHICO,1,A banda,14,uuppu,eejj
CHICO,1,A banda,15,uPpsPAu,ejjje
CHICO,1,A banda,16,APPuuuuppA,ejjjjj
CHICO,1,A banda,17,uu,ej
CHICO,1,A banda,18,PPPuuuuppA,ejjjjj
CHICO,1,A banda,19,uu,ej
CHICO,1,A banda,20,PppuuPPaA,ejjjbj
CHICO,1,A banda,21,uaaPPp,ejjj
CHICO,1,A banda,22,uppPPp,ejjj
CHICO,1,A banda,23,uuuppp,ejjj
CHICO,1,A banda,24,uuuppS,ejjj
CHICO,1,A banda,25,uppPPp,ejjj
CHICO,1,A banda,26,uppPPp,ejjj
CHICO,1,A banda,27,uuuppp,ejjj
CHICO,1,A banda,28,uuuppS,ejjj
CHICO,1,A banda,29,uppPPp,ejjj
CHICO,1,A banda,30,uppPPp,ejjj
CHICO,1,A banda,31,uppPPp,ejjj
CHICO,1,A banda,32,uppPPp,ejjj
CHICO,1,A banda,33,uppPPp,ejjj
CHICO,1,A banda,34,uppPPp,ejjj
CHICO,2,A Rita,1,PupApaAu,gvnj
CHICO,2,A Rita,2,PPpAuaaau,pquj
CHICO,2,A Rita,3,uuAAAppAppAu,pvuv
CHICO,2,A Rita,4,uuppAaaa,pvu
CHICO,2,A Rita,5,uppAppAppAa,gvuuc
CHICO,2,A Rita,6,pa,nb
CHICO,2,A Rita,7,uAuuPuAa,pvnc
CHICO,2,A Rita,8,uuaAps,ntn
CHICO,2,A Rita,9,PupApaApaAu,gvuuc
CHICO,2,A Rita,10,puaaa,uu
CHICO,2,A Rita,11,uuAAAppAppA,pvuq
CHICO,2,A Rita,12,uuuppAa,usl
CHICO,2,A Rita,13,uppAppAppA,gvuu
CHICO,2,A Rita,14,uuuuAuuauau,nvuu
CHICO,2,A Rita,15,uuauAuaaupAaa,grnrnr
CHICO,3,Acorda amor,1,Auu,gq
CHICO,3,Acorda amor,2,ppppupSu,gvv
CHICO,3,Acorda amor,3,ppppuupSu,gvvb
CHICO,3,Acorda amor,4,pppPP,gvb
CHICO,3,Acorda amor,5,PP,pb
