corpus_id,composition_id,composition_name,chord_index,root,bass,chord_type,chord_symbol,functional_category,key,mode,position
CHICO,1,A banda,1,2,2,Z1.1,*6.9,I,2,major,1.0
CHICO,1,A banda,2,9,9,Y0,*7,V,2,major,3.0
CHICO,1,A banda,3,6,6,z0,*m7,II__X,2,major,5.0
CHICO,1,A banda,4,11,11,Y0,*7,V/II,2,major,6.0
CHICO,1,A banda,5,4,4,z2,*m7.9,II,2,major,7.0
CHICO,1,A banda,6,9,9,Y0,*7,V,2,major,8.0
CHICO,1,A banda,7,2,2,Z1.1,*6.9,I,2,major,9.0
CHICO,1,A banda,8,9,9,Y0,*7,V,2,major,11.0
CHICO,1,A banda,9,6,6,z0,*m7,II__X,2,major,13.0
CHICO,1,A banda,10,11,11,Y0,*7,V/II,2,major,14.0
CHICO,1,A banda,11,4,4,z2,*m7.9,II,2,major,15.0
CHICO,1,A banda,12,9,9,Y0,*7,V,2,major,16.0
CHICO,1,A banda,13,2,2,Z1.1,*6.9,I,2,major,17.0
CHICO,1,A banda,14,2,2,Z0,*M7,I,2,major,19.0
CHICO,1,A banda,15,9,9,Y0,*7,V,2,major,21.0
CHICO,1,A banda,16,6,9,y0,*Ø,II__X,2,major,23.0
CHICO,1,A banda,17,11,11,Y0,*7,V/II,2,major,24.0
CHICO,1,A banda,18,4,4,z0,*m7,II,2,major,25.0
CHICO,1,A banda,19,1,1,z0,*m7,II__X,2,major,27.0
CHICO,1,A banda,20,6,6,Y2,*7.9,II__X,2,major,28.0
CHICO,1,A banda,21,6,6,z0,*m7,II__X,2,major,29.0
CHICO,1,A banda,22,11,11,Y0,*7,V/II,2,major,30.0
CHICO,1,A banda,23,4,4,Y2,*7.9,V/V,2,major,31.0
CHICO,1,A banda,24,4,4,z2,*m7.9,II,2,major,33.0
CHICO,1,A banda,25,9,9,Y0,*7,V,2,major,34.0
CHICO,1,A banda,26,2,2,Z0,*M7,I,2,major,35.0
CHICO,1,A banda,27,9,9,Y0,*7,V,2,major,37.0
CHICO,1,A banda,28,6,9,y0,*Ø,II__X,2,major,39.0
CHICO,1,A banda,29,11,11,Y0,*7,V/II,2,major,40.0
CHICO,1,A banda,30,4,4,z0,*m7,II,2,major,41.0
CHICO,1,A banda,31,1,1,z0,*m7,II__X,2,major,43.0
CHICO,1,A banda,32,6,6,Y2,*7.9,V/VI,2,major,44.0
CHICO,1,A banda,33,6,6,z0,*m7,II__X,2,major,45.0
CHICO,1,A banda,34,11,11,Y0,*7,V/II,2,major,46.0
