corpus_id,composition_id,composition_name,mode,note_index,scale_degree,note_function
CHICO,1,A banda,major,1,1,1
CHICO,1,A banda,major,2,7,x
CHICO,1,A banda,major,3,6,x
CHICO,1,A banda,major,4,5,1
CHICO,1,A banda,major,5,7,3
CHICO,1,A banda,major,6,6,x
CHICO,1,A banda,major,7,5,1
CHICO,1,A banda,major,8,5,3
CHICO,1,A banda,major,9,3,1
CHICO,1,A banda,major,10,2,x
CHICO,1,A banda,major,11,#1/b2,3
CHICO,1,A banda,major,12,2,x
CHICO,1,A banda,major,13,3,5
CHICO,1,A banda,major,14,2,1
CHICO,1,A banda,major,15,1,x
CHICO,1,A banda,major,16,7,3
CHICO,1,A banda,major,17,1,x
CHICO,1,A banda,major,18,2,5
CHICO,1,A banda,major,19,1,1
CHICO,1,A banda,major,20,7,x
CHICO,1,A banda,major,21,6,x
CHICO,1,A banda,major,22,5,5
CHICO,1,A banda,major,23,7,3
CHICO,1,A banda,major,24,6,x
CHICO,1,A banda,major,25,5,1
CHICO,1,A banda,major,26,5,3
CHICO,1,A banda,major,27,3,1
CHICO,1,A banda,major,28,2,x
CHICO,1,A banda,major,29,#1/b2,3
CHICO,1,A banda,major,30,2,x
CHICO,1,A banda,major,31,3,5
CHICO,1,A banda,major,32,2,1
CHICO,1,A banda,major,33,1,x
CHICO,1,A banda,major,34,7,3
CHICO,1,A banda,major,35,1,x
CHICO,1,A banda,major,36,2,5
CHICO,1,A banda,major,37,1,1
CHICO,1,A banda,major,38,5,5
CHICO,1,A banda,major,39,1,1
CHICO,1,A banda,major,40,2,x
CHICO,1,A banda,major,41,3,3
CHICO,1,A banda,major,42,2,x
CHICO,1,A banda,major,43,1,1
CHICO,1,A banda,major,44,3,13
CHICO,1,A banda,major,45,2,5
CHICO,1,A banda,major,46,3,x
CHICO,1,A banda,major,47,4,x
CHICO,1,A banda,major,48,5,1
CHICO,1,A banda,major,49,5,7
CHICO,1,A banda,major,50,4,x
CHICO,1,A banda,major,51,3,5
CHICO,1,A banda,major,52,5,11
CHICO,1,A banda,major,53,4,3
CHICO,1,A banda,major,54,5,x
CHICO,1,A banda,major,55,4,3
CHICO,1,A banda,major,56,3,11
CHICO,1,A banda,major,57,#4/b5,x
