corpus_id,composition_id,composition_name,word_index,c_word,r_word
DJAVAN,1,Flor de lis,1,Suu,nn
DJAVAN,1,Flor de lis,2,aaAuu,nnn
DJAVAN,1,Flor de lis,3,aaAuu,nnn
DJAVAN,1,Flor de lis,4,aaA,ngb
DJAVAN,1,Flor de lis,5,Sap,gt
DJAVAN,1,Flor de lis,6,PAPuu,nnn
DJAVAN,1,Flor de lis,7,aaAuu,nnn
DJAVAN,1,Flor de lis,8,aAAuu,nnn
DJAVAN,1,Flor de lis,9,PPPpu,nngb
DJAVAN,1,Flor de lis,10,PPppa,nrb
DJAVAN,1,Flor de lis,11,PPppSa,cnnl
DJAVAN,1,Flor de lis,12,ps,pg
DJAVAN,1,Flor de lis,13,pPpPpPpPPpa,gossjc
DJAVAN,1,Flor de lis,14,aAAPpa,nnng
DJAVAN,1,Flor de lis,15,AppAp,pnn
DJAVAN,1,Flor de lis,16,uppPPa,nnt
DJAVAN,1,Flor de lis,17,AppapAu,tnt
DJAVAN,2,E que Deus ajude,1,uPPuAuauApaS,uvvh
DJAVAN,2,E que Deus ajude,2,pPPuPsuu,uvh
DJAVAN,2,E que Deus ajude,3,ApuupAu,pvh
DJAVAN,2,E que Deus ajude,4,aaAaAPu,pvh
DJAVAN,2,E que Deus ajude,5,paAaAAuuaa,pvvb
DJAVAN,2,E que Deus ajude,6,uua,ub
DJAVAN,2,E que Deus ajude,7,uAuuaPu,pvh
DJAVAN,2,E que Deus ajude,8,uuuuPau,pvh
DJAVAN,2,E que Deus ajude,9,uuauuauuu,pvv
DJAVAN,2,E que Deus ajude,10,uuAuuaPu,uvh
DJAVAN,2,E que Deus ajude,11,uuuuupu,pvh
DJAVAN,2,E que Deus ajude,12,uuuuupuupau,pvvh
DJAVAN,2,E que Deus ajude,13,uuau,uj
DJAVAN,2,E que Deus ajude,14,uuaup,ur
DJAVAN,2,E que Deus ajude,15,uuuuPP,nnnc
DJAVAN,2,E que Deus ajude,16,pppa,gqb
DJAVAN,2,E que Deus ajude,17,pppa,gqb
DJAVAN,2,E que Deus ajude,18,ppAa,gqb
DJAVAN,2,E que Deus ajude,19,ppAa,gqb
DJAVAN,2,E que Deus ajude,20,ppAa,gqb
DJAVAN,3,Lilas,1,PP,eeb
DJAVAN,3,Lilas,2,ppp,bbbb
DJAVAN,3,Lilas,3,PP,eeb
DJAVAN,3,Lilas,4,ppp,bbbb
DJAVAN,3,Lilas,5,PuuPuuPuu,kdkdkdb
DJAVAN,3,Lilas,6,upPuppPp,eebjbjb
DJAVAN,3,Lilas,7,APAua,jjeb
DJAVAN,3,Lilas,8,ua,jb
DJAVAN,3,Lilas,9,Pa,le
DJAVAN,3,Lilas,10,ua,eeb
DJAVAN,3,Lilas,11,uapA,jje
DJAVAN,3,Lilas,12,APAua,jjeb
DJAVAN,3,Lilas,13,ua,jb
DJAVAN,3,Lilas,14,Sppuuuu,ejjjb
DJAVAN,3,Lilas,15,ppPPa,eejee
DJAVAN,3,Lilas,16,uSuuppuu,jjjjb
DJAVAN,3,Lilas,17,uu,eeb
DJAVAN,3,Lilas,18,P,j
DJAVAN,4,Nem um dia,1,APPu,uj
DJAVAN,4,Nem um dia,2,APPPpupp,utmb
DJAVAN,4,Nem um dia,3,PPPpPppu,uvh
DJAVAN,4,Nem um dia,4,PPPupp,utg
DJAVAN,4,Nem um dia,5,APPa,uj
DJAVAN,4,Nem um dia,6,APPPpupp,utmb
DJAVAN,4,Nem um dia,7,PPPpPppu,uvh
DJAVAN,4,Nem um dia,8,PPPupp,utg
DJAVAN,4,Nem um dia,9,uuuuuuuuuuuppp,tnmvsb
DJAVAN,4,Nem um dia,10,PPPPau,vt
DJAVAN,4,Nem um dia,11,ppp,ue
DJAVAN,4,Nem um dia,12,pPpPpPpPPP,ntmrc
DJAVAN,4,Nem um dia,13,pPpPpPPPsP,ertsb
DJAVAN,4,Nem um dia,14,pPpPpPpPp,pmrt
DJAVAN,4,Nem um dia,15,pPpPpPpPp,mrtm
DJAVAN,4,Nem um dia,16,pPpPpPpPppupP,rtmrjb
DJAVAN,5,Muito obrigado,1,AuaAu,grh
DJAVAN,5,Muito obrigado,2,AuaAPPAPu,grru
DJAVAN,5,Muito obrigado,3,PupAppaaa,grrmb
DJAVAN,5,Muito obrigado,4,AuaAu,grh
DJAVAN,5,Muito obrigado,5,AuaAupa,grrc
DJAVAN,5,Muito obrigado,6,AuaAu,grh
DJAVAN,5,Muito obrigado,7,AuaAPPAPu,grru
DJAVAN,5,Muito obrigado,8,PupAppaaa,grrmb
DJAVAN,5,Muito obrigado,9,AuaAu,grh
DJAVAN,5,Muito obrigado,10,AuaAuPAa,grnjb
DJAVAN,5,Muito obrigado,11,pPuupAppa,nrnmb
DJAVAN,5,Muito obrigado,12,APs,nn
DJAVAN,5,Muito obrigado,13,pPuupAppa,nrnmc
DJAVAN,5,Muito obrigado,14,APs,nn
DJAVAN,5,Muito obrigado,15,pPuupAppa,nrnmb
DJAVAN,5,Muito obrigado,16,APs,nn
DJAVAN,5,Muito obrigado,17,pPuupAppa,nrnmb
DJAVAN,5,Muito obrigado,18,APpa,nng
DJAVAN,5,Muito obrigado,19,pPuupAppp,nrnu
DJAVAN,5,Muito obrigado,20,APpa,nnab
DJAVAN,5,Muito obrigado,21,APPs,nnab
DJAVAN,5,Muito obrigado,22,APpa,nng
DJAVAN,5,Muito obrigado,23,AuaAPPaa,grrcb
DJAVAN,6,Obi,1,uPu,nn
DJAVAN,6,Obi,2,uuuPPP,mnt
DJAVAN,6,Obi,3,AsAaAa,grmc
DJAVAN,6,Obi,4,AAApA,puc
DJAVAN,6,Obi,5,Pa,nc
DJAVAN,6,Obi,6,pp,pg
DJAVAN,6,Obi,7,uPuPu,nnn
DJAVAN,6,Obi,8,PuPPPAs,cjrj
DJAVAN,6,Obi,9,aAa,nl
DJAVAN,6,Obi,10,PPpp,pnc
DJAVAN,6,Obi,11,ppppA,gmlg
DJAVAN,6,Obi,12,suSaa,tnc
DJAVAN,6,Obi,13,aaPa,gtb
DJAVAN,6,Obi,14,uAApuA,grnc
DJAVAN,6,Obi,15,PP,lg
DJAVAN,6,Obi,16,pPapP,pll
DJAVAN,6,Obi,17,pu,gn
DJAVAN,6,Obi,18,pu,nc
DJAVAN,6,Obi,19,pu,gn
DJAVAN,6,Obi,20,au,nc
DJAVAN,6,Obi,21,au,gn
DJAVAN,6,Obi,22,au,nc
DJAVAN,6,Obi,23,auA,gnc
DJAVAN,6,Obi,24,uA,gn
DJAVAN,7,Passou,1,PsAP,jjb
DJAVAN,7,Passou,2,aS,eee
DJAVAN,7,Passou,3,aP,jb
DJAVAN,7,Passou,4,PsAP,jjb
DJAVAN,7,Passou,5,aS,eee
DJAVAN,7,Passou,6,pAu,sb
DJAVAN,7,Passou,7,PsAP,jjb
DJAVAN,7,Passou,8,aS,eee
DJAVAN,7,Passou,9,aP,jb
DJAVAN,7,Passou,10,ppaPPuu,eajjs
DJAVAN,7,Passou,11,AuupAu,esaeeaaaae
DJAVAN,7,Passou,12,uuuuuuupuu,ostob
DJAVAN,7,Passou,13,puuu,epbc
DJAVAN,7,Passou,14,puuu,bsac
DJAVAN,7,Passou,15,puPau,euabb
DJAVAN,7,Passou,16,uuuuuupuu,phpjj
DJAVAN,7,Passou,17,puuu,enbab
DJAVAN,7,Passou,18,puu,eaq
DJAVAN,7,Passou,19,PPPPsPPPPPPu,essss
DJAVAN,7,Passou,20,PPPPPP,oseb
DJAVAN,8,Azul,1,ppaAsA,bbbeje
DJAVAN,8,Azul,2,ppaAu,ejjb
DJAVAN,8,Azul,3,ppaAsA,bbbeje
DJAVAN,8,Azul,4,PPsPPPpa,ejajjbb
DJAVAN,8,Azul,5,ppaAsA,ejajaj
DJAVAN,8,Azul,6,ppaAu,ejjb
DJAVAN,8,Azul,7,ppaAsA,jeajaj
DJAVAN,8,Azul,8,PPAsSsA,ejbbbbb
DJAVAN,8,Azul,9,puaAsA,bbjje
DJAVAN,8,Azul,10,ppaAu,ejjb
DJAVAN,8,Azul,11,ppaAsA,jeajaj
DJAVAN,8,Azul,12,AsAAuPPPp,jjbjjb
DJAVAN,8,Azul,13,pAsASaAPs,ejjbjj
DJAVAN,8,Azul,14,AAsA,jjb
DJAVAN,8,Azul,15,aAaPa,jajaj
DJAVAN,8,Azul,16,AaASaAPs,jjbjj
DJAVAN,8,Azul,17,AAsA,jjb
DJAVAN,8,Azul,18,aAaPa,jajaj
DJAVAN,9,Beiral,1,pp,ng
DJAVAN,9,Beiral,2,aPauAauPauu,pvvh
DJAVAN,9,Beiral,3,uauuAs,prh
DJAVAN,9,Beiral,4,SPppPA,gvm
DJAVAN,9,Beiral,5,ppPpp,ehhc
DJAVAN,9,Beiral,6,pp,ng
DJAVAN,9,Beiral,7,aPauAaP,pvj
DJAVAN,9,Beiral,8,PP,t
DJAVAN,9,Beiral,9,PpPPPP,pqj
DJAVAN,9,Beiral,10,uuuuuuuaA,rnnnb
DJAVAN,9,Beiral,11,pP,gm
DJAVAN,9,Beiral,12,uPPpPp,uv
DJAVAN,9,Beiral,13,aaS,cch
DJAVAN,9,Beiral,14,upuAp,gvb
DJAVAN,9,Beiral,15,AuaAuaApp,ntnle
DJAVAN,9,Beiral,16,pP,gm
DJAVAN,9,Beiral,17,APPpPpapAu,uqjr
DJAVAN,9,Beiral,18,APPuPpp,uvb
DJAVAN,9,Beiral,19,AAAuu,gvb
DJAVAN,9,Beiral,20,uuppAPAp,pvng
DJAVAN,9,Beiral,21,PAp,gmc
DJAVAN,9,Beiral,22,PAupuaupa,gnnnnc
DJAVAN,10,Om,1,PpPpP,tt
DJAVAN,10,Om,2,PpPpP,tt
DJAVAN,10,Om,3,PSsPSa,ghbjab
DJAVAN,10,Om,4,PpPpP,tt
DJAVAN,10,Om,5,PpPpP,tt
DJAVAN,10,Om,6,PSsPS,obob
DJAVAN,10,Om,7,app,bbbb
DJAVAN,10,Om,8,app,bbbb
DJAVAN,10,Om,9,app,bbbb
DJAVAN,10,Om,10,apau,btac
DJAVAN,10,Om,11,app,bbbb
DJAVAN,10,Om,12,app,bbbb
DJAVAN,10,Om,13,app,bbbb
DJAVAN,10,Om,14,PPuu,btab
DJAVAN,10,Om,15,uAuauS,tjh
DJAVAN,10,Om,16,uSsPAu,teme
DJAVAN,10,Om,17,PPau,qbg
DJAVAN,10,Om,18,PPpau,qt
DJAVAN,10,Om,19,uAuauS,tjh
DJAVAN,10,Om,20,uSsPAu,teme
DJAVAN,10,Om,21,PPPpau,qjbb
DJAVAN,10,Om,22,PPpauu,qtab
DJAVAN,10,Om,23,uAauA,teh
DJAVAN,10,Om,24,PPau,qbg
DJAVAN,10,Om,25,PPpau,qt
DJAVAN,11,Agua,1,PupuppP,eaoiob
DJAVAN,11,Agua,2,aAPpAp,ebsbe
DJAVAN,11,Agua,3,PpuppP,eaojbb
DJAVAN,11,Agua,4,aAsAsASp,ossab
DJAVAN,11,Agua,5,AppPPP,meub
DJAVAN,11,Agua,6,pp,me
DJAVAN,11,Agua,7,uPAa,ejj
DJAVAN,11,Agua,8,upAp,jebe
DJAVAN,11,Agua,9,ppupppAp,ejjbje
DJAVAN,11,Agua,10,Ap,jaae
DJAVAN,11,Agua,11,AuaA,jjb
DJAVAN,11,Agua,12,AuaA,jjb
DJAVAN,11,Agua,13,AsAsPAp,jjjbb
DJAVAN,11,Agua,14,AuaA,jjb
DJAVAN,11,Agua,15,AuaA,jjb
DJAVAN,11,Agua,16,AsAsPAp,jjjbb
DJAVAN,12,Alibi,1,Su,jae
DJAVAN,12,Alibi,2,PpaAu,ejeeae
DJAVAN,12,Alibi,3,uPPuuu,ofio
DJAVAN,12,Alibi,4,uPPuu,osd
DJAVAN,12,Alibi,5,PPua,os
DJAVAN,12,Alibi,6,Su,eeae
DJAVAN,12,Alibi,7,PpuaAu,oboee
DJAVAN,12,Alibi,8,uPPuu,ofif
DJAVAN,12,Alibi,9,uPPuu,soe
DJAVAN,12,Alibi,10,uPPA,os
DJAVAN,12,Alibi,11,pPpPpu,oseae
DJAVAN,12,Alibi,12,sA,s
DJAVAN,12,Alibi,13,PPPpApaA,djosb
DJAVAN,12,Alibi,14,SusSus,fss
DJAVAN,12,Alibi,15,PSaAp,oko
DJAVAN,12,Alibi,16,PPppAPpPp,efjjaoi
DJAVAN,12,Alibi,17,pPpPp,osb
DJAVAN,12,Alibi,18,aPaPaPa,oss
DJAVAN,12,Alibi,19,aPPppP,eoeje
DJAVAN,13,Asa,1,uAupAp,pqj
DJAVAN,13,Asa,2,SpaaA,pjj
DJAVAN,13,Asa,3,pPApuAAausppu,eqqtml
DJAVAN,13,Asa,4,uAupAp,pqj
DJAVAN,13,Asa,5,SpaaA,pjj
DJAVAN,13,Asa,6,puApuAAausppu,eqqtml
DJAVAN,13,Asa,7,uupuppApp,umjlab
DJAVAN,13,Asa,8,PaPPPPAuuaAuaAa,umjstmc
DJAVAN,13,Asa,9,aPaPaPaPaPPAa,nrtmrc
DJAVAN,13,Asa,10,Spuuu,pjj
DJAVAN,13,Asa,11,ApuupPp,pjjl
DJAVAN,13,Asa,12,PPauuPa,gqjh
DJAVAN,13,Asa,13,PPuuPPPP,qhv
DJAVAN,14,Meu,1,PPPpP,psb
DJAVAN,14,Meu,2,PpPp,gsb
DJAVAN,14,Meu,3,PPPpP,guh
DJAVAN,14,Meu,4,PpPpP,efsb
DJAVAN,14,Meu,5,PPApP,gnq
DJAVAN,14,Meu,6,PppaaSu,guv
DJAVAN,14,Meu,7,PPPpP,guh
DJAVAN,14,Meu,8,PpPpP,eetc
DJAVAN,14,Meu,9,ppppPPapu,gsshc
DJAVAN,14,Meu,10,aPPp,gaph
DJAVAN,14,Meu,11,aPPAPAsPP,gapvq
DJAVAN,14,Meu,12,PPp,ph
DJAVAN,14,Meu,13,aAPAaAp,uvb
DJAVAN,14,Meu,14,ApaSpaAP,ptv
DJAVAN,15,Numa esquina de Hanoi,1,uA,r
DJAVAN,15,Numa esquina de Hanoi,2,A,eb
DJAVAN,15,Numa esquina de Hanoi,3,ApA,cch
DJAVAN,15,Numa esquina de Hanoi,4,Pa,mc
DJAVAN,15,Numa esquina de Hanoi,5,aA,le
DJAVAN,15,Numa esquina de Hanoi,6,uPua,nr
DJAVAN,15,Numa esquina de Hanoi,7,A,n
DJAVAN,15,Numa esquina de Hanoi,8,A,eb
DJAVAN,15,Numa esquina de Hanoi,9,ApA,cnc
DJAVAN,15,Numa esquina de Hanoi,10,Pa,nc
DJAVAN,15,Numa esquina de Hanoi,11,aA,gec
DJAVAN,15,Numa esquina de Hanoi,12,uuPua,ur
DJAVAN,15,Numa esquina de Hanoi,13,A,n
DJAVAN,15,Numa esquina de Hanoi,14,A,eb
DJAVAN,15,Numa esquina de Hanoi,15,AupA,cnj
DJAVAN,15,Numa esquina de Hanoi,16,aA,el
DJAVAN,15,Numa esquina de Hanoi,17,A,ec
DJAVAN,15,Numa esquina de Hanoi,18,SsSa,leh
DJAVAN,16,Topazio,1,uu,t
DJAVAN,16,Topazio,2,p,l
DJAVAN,16,Topazio,3,upPupup,bjbgs
DJAVAN,16,Topazio,4,u,j
DJAVAN,16,Topazio,5,p,be
DJAVAN,16,Topazio,6,upPupApp,bjbjje
DJAVAN,16,Topazio,7,uu,jb
DJAVAN,16,Topazio,8,p,be
DJAVAN,16,Topazio,9,PpPpPppp,leclen
DJAVAN,16,Topazio,10,Papp,pq
DJAVAN,16,Topazio,11,uu,t
DJAVAN,16,Topazio,12,APp,jeb
DJAVAN,16,Topazio,13,auu,et
DJAVAN,16,Topazio,14,AuupPPppa,grnnj
DJAVAN,16,Topazio,15,PPPPPpa,ejjbbb
DJAVAN,16,Topazio,16,PPPPAup,jjjee
DJAVAN,16,Topazio,17,PPPPAuPpu,jjjeaob
DJAVAN,16,Topazio,18,uu,t
DJAVAN,16,Topazio,19,p,l
DJAVAN,16,Topazio,20,upPupp,bjbob
DJAVAN,16,Topazio,21,uu,t
DJAVAN,16,Topazio,22,pppu,beeeb
DJAVAN,17,Nereci,1,pppaApa,rnjb
DJAVAN,17,Nereci,2,appaApaP,rnjh
DJAVAN,17,Nereci,3,pppaApa,rnjb
DJAVAN,17,Nereci,4,app,v
DJAVAN,17,Nereci,5,aASu,gbach
DJAVAN,17,Nereci,6,uAauuA,rpn
DJAVAN,17,Nereci,7,aAuPsp,gjjj
DJAVAN,17,Nereci,8,uAuA,rn
DJAVAN,17,Nereci,9,uaaP,ejbc
DJAVAN,17,Nereci,10,uAauuA,rpn
DJAVAN,17,Nereci,11,aAuPsp,gjjj
DJAVAN,17,Nereci,12,uAuA,rn
DJAVAN,17,Nereci,13,uaaP,ejbc
DJAVAN,18,Samba dobrado,1,AAAaAp,sbnag
DJAVAN,18,Samba dobrado,2,AAAApu,sjega
DJAVAN,18,Samba dobrado,3,APPppau,prjb
DJAVAN,18,Samba dobrado,4,papP,nr
DJAVAN,18,Samba dobrado,5,papP,nr
DJAVAN,18,Samba dobrado,6,P,gc
DJAVAN,18,Samba dobrado,7,APPppau,ghun
DJAVAN,18,Samba dobrado,8,apapP,ur
DJAVAN,18,Samba dobrado,9,AAua,jbn
DJAVAN,18,Samba dobrado,10,AAAsAAA,nnjj
DJAVAN,18,Samba dobrado,11,Ppa,ph
DJAVAN,18,Samba dobrado,12,APPsAPP,gsrg
DJAVAN,18,Samba dobrado,13,PpAppu,epv
DJAVAN,18,Samba dobrado,14,PpPp,eue
DJAVAN,18,Samba dobrado,15,pPApaaPP,nnnng
DJAVAN,18,Samba dobrado,16,pPApaaPP,urng
DJAVAN,18,Samba dobrado,17,pPApaaPP,nnnng
DJAVAN,18,Samba dobrado,18,pPApaaPP,urng
DJAVAN,19,Maca,1,APua,nmc
DJAVAN,19,Maca,2,Pua,gmc
DJAVAN,19,Maca,3,APaA,pnc
DJAVAN,19,Maca,4,pappu,gnbbe
DJAVAN,19,Maca,5,uPu,pj
DJAVAN,19,Maca,6,uuPuuu,pql
DJAVAN,19,Maca,7,PpPPaP,jrh
DJAVAN,19,Maca,8,uPu,pj
DJAVAN,19,Maca,9,uuPuuu,pqj
DJAVAN,19,Maca,10,APPAPPAau,jjjjal
DJAVAN,19,Maca,11,AApppppa,jgnnbc
DJAVAN,19,Maca,12,uuuuu,clecb
DJAVAN,19,Maca,13,uuuupP,gechj
DJAVAN,19,Maca,14,ppppP,nnn
DJAVAN,19,Maca,15,aPPAau,nlmc
DJAVAN,19,Maca,16,uuuauuupu,gnnnng
DJAVAN,20,Dupla traicao,1,Suu,eq
DJAVAN,20,Dupla traicao,2,SPp,gbh
DJAVAN,20,Dupla traicao,3,pPa,eq
DJAVAN,20,Dupla traicao,4,pppP,hu
DJAVAN,20,Dupla traicao,5,Pa,jb
DJAVAN,20,Dupla traicao,6,pppP,eeob
DJAVAN,20,Dupla traicao,7,SsSPp,ebeeaj
DJAVAN,20,Dupla traicao,8,PpsSPp,esbm
DJAVAN,20,Dupla traicao,9,pPpPpAa,bsjbb
DJAVAN,20,Dupla traicao,10,S,j
DJAVAN,20,Dupla traicao,11,pPAppp,ejbaob
DJAVAN,20,Dupla traicao,12,pPp,oj
DJAVAN,20,Dupla traicao,13,PPppAu,gqnb
DJAVAN,21,Oceano,1,S,eb
DJAVAN,21,Oceano,2,puPPPp,ejjbe
DJAVAN,21,Oceano,3,ppppPa,ejejb
DJAVAN,21,Oceano,4,PPAppPPa,jjaeejb
DJAVAN,21,Oceano,5,PPA,jj
DJAVAN,21,Oceano,6,pPP,jj
DJAVAN,21,Oceano,7,ppuuaA,ecbebeb
DJAVAN,21,Oceano,8,APPuu,jjj
DJAVAN,21,Oceano,9,ppaP,fdebb
DJAVAN,21,Oceano,10,APPuppp,jkdkd
DJAVAN,21,Oceano,11,pP,ebb
DJAVAN,21,Oceano,12,PPPp,ebbbb
DJAVAN,21,Oceano,13,PPPu,ebbbb
DJAVAN,21,Oceano,14,pApp,obabb
DJAVAN,22,Alagoas,1,pPpPp,lnl
DJAVAN,22,Alagoas,2,pPpPPa,ntm
DJAVAN,22,Alagoas,3,aaaAA,gbrb
DJAVAN,22,Alagoas,4,PPa,nn
DJAVAN,22,Alagoas,5,pPpPp,egnl
DJAVAN,22,Alagoas,6,pPpPPa,ntm
DJAVAN,22,Alagoas,7,aaaAApaPp,gbrlgn
DJAVAN,22,Alagoas,8,aAaAaAPuuuaaPp,uvvv
DJAVAN,22,Alagoas,9,uuAppauuuPuPu,pvvv
DJAVAN,22,Alagoas,10,uuuPs,uq
DJAVAN,22,Alagoas,11,uuAuPa,uv
DJAVAN,22,Alagoas,12,aAaAaAaAAppu,uvtq
DJAVAN,22,Alagoas,13,ApppPaa,ngnje
DJAVAN,22,Alagoas,14,AApaAp,prj
DJAVAN,22,Alagoas,15,paAppaa,eemjl
DJAVAN,22,Alagoas,16,SpuSPa,erbn
DJAVAN,22,Alagoas,17,aPaAs,ececn
DJAVAN,22,Alagoas,18,pPuaa,jtc
DJAVAN,22,Alagoas,19,appa,ccng
DJAVAN,22,Alagoas,20,pPuaa,jtc
DJAVAN,23,Estoria de cantador,1,ApppPa,bjjeb
DJAVAN,23,Estoria de cantador,2,uaApPPa,eajjjb
DJAVAN,23,Estoria de cantador,3,PPAppau,jbejbae
DJAVAN,23,Estoria de cantador,4,PPAppa,jbejb
DJAVAN,23,Estoria de cantador,5,uuuPPup,eejebbe
DJAVAN,23,Estoria de cantador,6,pPpppPp,jjjbae
DJAVAN,23,Estoria de cantador,7,uuuPPuu,jbjjae
DJAVAN,23,Estoria de cantador,8,ppApppp,jjjbae
DJAVAN,24,Mal de mim,1,uu,t
DJAVAN,24,Mal de mim,2,pppp,clec
DJAVAN,24,Mal de mim,3,uaAuu,qt
DJAVAN,24,Mal de mim,4,PPaPa,ghgj
DJAVAN,24,Mal de mim,5,uu,t
DJAVAN,24,Mal de mim,6,pppp,clec
DJAVAN,24,Mal de mim,7,uaSuu,qt
DJAVAN,24,Mal de mim,8,uupAu,tcbb
DJAVAN,24,Mal de mim,9,u,l
DJAVAN,24,Mal de mim,10,uupa,tee
DJAVAN,24,Mal de mim,11,u,l
DJAVAN,24,Mal de mim,12,APuuupApupa,pujqj
DJAVAN,24,Mal de mim,13,u,l
DJAVAN,24,Mal de mim,14,uupa,tee
DJAVAN,24,Mal de mim,15,u,l
DJAVAN,24,Mal de mim,16,APuuupApupa,pujtj
DJAVAN,25,Tem boi na linha,1,Auu,gr
DJAVAN,25,Tem boi na linha,2,Auu,uc
DJAVAN,25,Tem boi na linha,3,Auu,gr
DJAVAN,25,Tem boi na linha,4,Au,u
DJAVAN,25,Tem boi na linha,5,AaAaAA,nrn
DJAVAN,25,Tem boi na linha,6,As,ggg
DJAVAN,25,Tem boi na linha,7,sS,ggc
DJAVAN,25,Tem boi na linha,8,au,u
DJAVAN,25,Tem boi na linha,9,au,gj
DJAVAN,25,Tem boi na linha,10,auAa,pnb
DJAVAN,25,Tem boi na linha,11,aAA,nn
DJAVAN,25,Tem boi na linha,12,As,ggg
DJAVAN,25,Tem boi na linha,13,pp,gaj
DJAVAN,25,Tem boi na linha,14,ppa,nn
DJAVAN,25,Tem boi na linha,15,AAPp,nhg
DJAVAN,25,Tem boi na linha,16,ppp,ggp
DJAVAN,25,Tem boi na linha,17,APP,nn
DJAVAN,25,Tem boi na linha,18,ppa,nj
DJAVAN,25,Tem boi na linha,19,AAPp,nng
DJAVAN,25,Tem boi na linha,20,ppp,eggc
DJAVAN,25,Tem boi na linha,21,APP,nn
DJAVAN,25,Tem boi na linha,22,ppa,nn
DJAVAN,25,Tem boi na linha,23,AAPp,nhg
DJAVAN,25,Tem boi na linha,24,aAaAA,cngn
DJAVAN,25,Tem boi na linha,25,APsAPp,nnjb
DJAVAN,26,Lambada de serpente,1,SuuuPa,erhc
DJAVAN,26,Lambada de serpente,2,aSa,ghc
DJAVAN,26,Lambada de serpente,3,aSu,ghg
DJAVAN,26,Lambada de serpente,4,SuuuPa,erhc
DJAVAN,26,Lambada de serpente,5,aSa,ghc
DJAVAN,26,Lambada de serpente,6,aSu,ghg
DJAVAN,26,Lambada de serpente,7,ASuus,erh
DJAVAN,26,Lambada de serpente,8,pPs,nj
DJAVAN,26,Lambada de serpente,9,uuu,nh
DJAVAN,26,Lambada de serpente,10,ASuus,erh
DJAVAN,26,Lambada de serpente,11,pPs,nj
DJAVAN,26,Lambada de serpente,12,uuu,nh
DJAVAN,27,Meu bem querer,1,PPu,bjb
DJAVAN,27,Meu bem querer,2,PPppu,ejajb
DJAVAN,27,Meu bem querer,3,ppPPPpp,ejjjb
