corpus_id,composition_id,composition_name,chord_index,root,bass,chord_type,chord_symbol,functional_category,key,mode,position
DJAVAN,1,Flor de lis,1,0,0,Z2,*M7.9,I,0,major,1.0
DJAVAN,1,Flor de lis,2,11,11,y0,*Ø,II__X,0,major,3.0
DJAVAN,1,Flor de lis,3,4,4,Y4.1,*7(b13),V/VI,0,major,4.0
DJAVAN,1,Flor de lis,4,9,9,z2,*m7.9,II__X,0,major,5.0
DJAVAN,1,Flor de lis,5,2,2,Y4,*7.13,V/V,0,major,6.0
DJAVAN,1,Flor de lis,6,7,7,z0,*m7,II__X,0,major,7.0
DJAVAN,1,Flor de lis,7,0,0,Y2,*7.9,V/IV,0,major,8.0
DJAVAN,1,Flor de lis,8,6,6,y0,*Ø,II__X,0,major,9.0
DJAVAN,1,Flor de lis,9,11,11,Y2.3,*7(b9),V/bVII,0,major,10.0
DJAVAN,1,Flor de lis,10,10,10,Z0,*M7,bVII7M,0,major,11.0
DJAVAN,1,Flor de lis,11,9,9,Y4.1,*7(b13),V/II,0,major,12.0
DJAVAN,1,Flor de lis,12,6,6,y0,*Ø,II__X,0,major,13.0
DJAVAN,1,Flor de lis,13,11,11,Y2.3,*7(b9),V/bVII,0,major,14.0
DJAVAN,1,Flor de lis,14,4,4,z2,*m7.9,II__X,0,major,15.0
DJAVAN,1,Flor de lis,15,9,9,Y4.1,*7(b13),V/II,0,major,16.0
DJAVAN,1,Flor de lis,16,9,9,z1,*m6,VI,0,major,17.0
DJAVAN,1,Flor de lis,17,5,5,z1,*m6,IVm7,0,major,18.0
DJAVAN,1,Flor de lis,18,0,0,Z2,*M7.9,I,0,major,19.0
DJAVAN,1,Flor de lis,19,4,4,Y2.4,*7(#9),V/VI,0,major,20.0
DJAVAN,1,Flor de lis,20,9,9,z2,*m7.9,VI,0,major,21.0
DJAVAN,1,Flor de lis,21,4,8,V0,*,V/VI,0,major,22.0
DJAVAN,1,Flor de lis,22,7,7,z0,*m7,II__X,0,major,23.0
DJAVAN,1,Flor de lis,23,0,0,Y2,*7.9,V/IV,0,major,24.0
DJAVAN,1,Flor de lis,24,5,5,Z0,*M7,IV,0,major,25.0
DJAVAN,1,Flor de lis,25,10,10,Y2,*7.9,bVII7,0,major,26.0
DJAVAN,1,Flor de lis,26,4,4,z2,*m7.9,II__X,0,major,27.0
DJAVAN,1,Flor de lis,27,9,9,Y4.1,*7(b13),V/II,0,major,28.0
DJAVAN,1,Flor de lis,28,2,2,Y2,*7.9,V/V,0,major,29.0
DJAVAN,1,Flor de lis,29,7,7,Y1.1,*4.7.9,V,0,major,30.0
DJAVAN,1,Flor de lis,30,0,0,Z1.1,*6.9,I,0,major,31.0
DJAVAN,1,Flor de lis,31,7,7,W0,*(#5)7,V,0,major,32.0
DJAVAN,1,Flor de lis,32,0,0,Z2,*M7.9,I,0,major,33.0
DJAVAN,2,E que Deus ajude,1,4,4,z2,*m7.9,II,2,major,1.0
DJAVAN,2,E que Deus ajude,2,9,9,Y1.1,*4.7.9,V,2,major,2.5
DJAVAN,2,E que Deus ajude,3,6,6,z0,*m7,II__X,2,major,3.0
DJAVAN,2,E que Deus ajude,4,11,11,Y2.4,*7(#9),V/II,2,major,3.5
DJAVAN,2,E que Deus ajude,5,4,4,z2,*m7.9,II,2,major,4.0
DJAVAN,2,E que Deus ajude,6,9,9,Y1.1,*4.7.9,V,2,major,4.5
DJAVAN,2,E que Deus ajude,7,2,2,Z1.1,*6.9,I,2,major,5.0
DJAVAN,2,E que Deus ajude,8,11,11,X0,*(b5)7,V/II,2,major,5.5
DJAVAN,2,E que Deus ajude,9,4,4,z2,*m7.9,II,2,major,6.0
DJAVAN,2,E que Deus ajude,10,9,9,Y1.1,*4.7.9,V,2,major,6.5
DJAVAN,2,E que Deus ajude,11,6,6,z0,*m7,II__X,2,major,7.0
DJAVAN,2,E que Deus ajude,12,11,11,Y2.4,*7(#9),V/II,2,major,7.5
DJAVAN,2,E que Deus ajude,13,4,4,z2,*m7.9,II,2,major,8.0
DJAVAN,2,E que Deus ajude,14,9,9,Y1.1,*4.7.9,V,2,major,8.5
DJAVAN,2,E que Deus ajude,15,2,2,Z1.1,*6.9,I,2,major,9.0
DJAVAN,2,E que Deus ajude,16,11,11,X0,*(b5)7,V/II,2,major,9.5
DJAVAN,2,E que Deus ajude,17,4,4,z2,*m7.9,II,2,major,10.0
DJAVAN,2,E que Deus ajude,18,9,9,Y1.1,*4.7.9,V,2,major,10.5
DJAVAN,2,E que Deus ajude,19,6,6,z0,*m7,II__X,2,major,11.0
DJAVAN,2,E que Deus ajude,20,11,11,Y2.4,*7(#9),V/II,2,major,11.5
DJAVAN,2,E que Deus ajude,21,4,4,z2,*m7.9,II,2,major,12.0
DJAVAN,2,E que Deus ajude,22,9,9,Y1.1,*4.7.9,V,2,major,12.5
DJAVAN,2,E que Deus ajude,23,2,2,Z1.1,*6.9,I,2,major,13.0
DJAVAN,2,E que Deus ajude,24,11,11,X0,*(b5)7,V/II,2,major,13.5
DJAVAN,2,E que Deus ajude,25,4,4,z2,*m7.9,II,2,major,14.0
DJAVAN,2,E que Deus ajude,26,9,9,Y1.1,*4.7.9,V,2,major,14.5
DJAVAN,2,E que Deus ajude,27,6,6,z0,*m7,II__X,2,major,15.0
DJAVAN,2,E que Deus ajude,28,11,11,Y2.4,*7(#9),V/II,2,major,15.5
DJAVAN,2,E que Deus ajude,29,4,4,z2,*m7.9,II,2,major,16.0
DJAVAN,2,E que Deus ajude,30,9,9,Y1.1,*4.7.9,V,2,major,16.5
DJAVAN,2,E que Deus ajude,31,2,2,Z1.1,*6.9,I,2,major,17.0
DJAVAN,2,E que Deus ajude,32,11,11,X0,*(b5)7,V/II,2,major,17.5
DJAVAN,2,E que Deus ajude,33,4,4,z2,*m7.9,II,2,major,18.0
DJAVAN,2,E que Deus ajude,34,9,9,Y1.1,*4.7.9,V,2,major,18.5
DJAVAN,2,E que Deus ajude,35,2,2,Z1.1,*6.9,I,2,major,19.0
DJAVAN,2,E que Deus ajude,36,11,11,X0,*(b5)7,V/II,2,major,19.5
DJAVAN,2,E que Deus ajude,37,4,4,z2,*m7.9,II,2,major,20.0
