corpus_id,composition_id,composition_name,mode,note_index,scale_degree,note_function
DJAVAN,1,Flor de lis,major,1,7,9
DJAVAN,1,Flor de lis,major,2,3,3
DJAVAN,1,Flor de lis,major,3,5,5
DJAVAN,1,Flor de lis,major,4,3,3
DJAVAN,1,Flor de lis,major,5,1,1
DJAVAN,1,Flor de lis,major,6,3,11
DJAVAN,1,Flor de lis,major,7,5,b9/#9
DJAVAN,1,Flor de lis,major,8,3,1
DJAVAN,1,Flor de lis,major,9,1,b13
DJAVAN,1,Flor de lis,major,10,3,5
DJAVAN,1,Flor de lis,major,11,6,5
DJAVAN,1,Flor de lis,major,12,3,9
DJAVAN,1,Flor de lis,major,13,1,7
DJAVAN,1,Flor de lis,major,14,3,11
DJAVAN,1,Flor de lis,major,15,2,5
DJAVAN,1,Flor de lis,major,16,6,9
DJAVAN,1,Flor de lis,major,17,4,7
DJAVAN,1,Flor de lis,major,18,3,3
DJAVAN,1,Flor de lis,major,19,2,x
DJAVAN,1,Flor de lis,major,20,3,3
DJAVAN,1,Flor de lis,major,21,5,5
DJAVAN,1,Flor de lis,major,22,6,3
DJAVAN,1,Flor de lis,major,23,1,b9/#9
DJAVAN,1,Flor de lis,major,24,6,7
DJAVAN,1,Flor de lis,major,25,4,b13
DJAVAN,1,Flor de lis,major,26,6,7
DJAVAN,1,Flor de lis,major,27,5,7
DJAVAN,1,Flor de lis,major,28,3,5
DJAVAN,1,Flor de lis,major,29,5,7
DJAVAN,1,Flor de lis,major,30,1,5
DJAVAN,1,Flor de lis,major,31,6,7
DJAVAN,1,Flor de lis,major,32,7,x
DJAVAN,1,Flor de lis,major,33,1,b9/#9
DJAVAN,1,Flor de lis,major,34,2,7
DJAVAN,1,Flor de lis,major,35,1,b9/#9
DJAVAN,1,Flor de lis,major,36,6,1
DJAVAN,1,Flor de lis,major,37,7,x
DJAVAN,1,Flor de lis,major,38,1,b9/#9
DJAVAN,1,Flor de lis,major,39,7,x
DJAVAN,1,Flor de lis,major,40,6,1
DJAVAN,1,Flor de lis,major,41,5,5
DJAVAN,1,Flor de lis,major,42,1,3
DJAVAN,1,Flor de lis,major,43,2,6
DJAVAN,1,Flor de lis,major,44,#2/b3,x
DJAVAN,1,Flor de lis,major,45,2,6
DJAVAN,1,Flor de lis,major,46,1,5
DJAVAN,1,Flor de lis,major,47,5,5
DJAVAN,1,Flor de lis,major,48,3,3
DJAVAN,1,Flor de lis,major,49,1,1
DJAVAN,1,Flor de lis,major,50,7,5
DJAVAN,1,Flor de lis,major,51,3,1
DJAVAN,1,Flor de lis,major,52,1,3
DJAVAN,1,Flor de lis,major,53,7,x
DJAVAN,1,Flor de lis,major,54,1,3
DJAVAN,1,Flor de lis,major,55,7,x
DJAVAN,1,Flor de lis,major,56,1,3
DJAVAN,1,Flor de lis,major,57,7,x
DJAVAN,1,Flor de lis,major,58,1,b13
DJAVAN,1,Flor de lis,major,59,7,x
DJAVAN,1,Flor de lis,major,60,1,b13
DJAVAN,1,Flor de lis,major,61,2,7
DJAVAN,1,Flor de lis,major,62,1,11
DJAVAN,1,Flor de lis,major,63,5,1
DJAVAN,1,Flor de lis,major,64,1,11
DJAVAN,1,Flor de lis,major,65,6,13
DJAVAN,1,Flor de lis,major,66,1,1
DJAVAN,1,Flor de lis,major,67,3,3
DJAVAN,1,Flor de lis,major,68,4,x
DJAVAN,1,Flor de lis,major,69,3,7
DJAVAN,1,Flor de lis,major,70,1,5
DJAVAN,1,Flor de lis,major,71,2,6
DJAVAN,1,Flor de lis,major,72,4,5
DJAVAN,1,Flor de lis,major,73,3,x
DJAVAN,1,Flor de lis,major,74,2,3
DJAVAN,1,Flor de lis,major,75,4,5
DJAVAN,1,Flor de lis,major,76,3,1
DJAVAN,1,Flor de lis,major,77,3,5
DJAVAN,1,Flor de lis,major,78,2,x
DJAVAN,1,Flor de lis,major,79,1,b9/#9
DJAVAN,1,Flor de lis,major,80,2,11
DJAVAN,1,Flor de lis,major,81,3,5
DJAVAN,1,Flor de lis,major,82,1,7
DJAVAN,1,Flor de lis,major,83,3,9
DJAVAN,1,Flor de lis,major,84,2,5
DJAVAN,1,Flor de lis,major,85,1,3
DJAVAN,1,Flor de lis,major,86,6,x
DJAVAN,1,Flor de lis,major,87,5,1
DJAVAN,1,Flor de lis,major,88,1,11
DJAVAN,2,E que Deus ajude,major,1,5,11
DJAVAN,2,E que Deus ajude,major,2,#5/b6,x
DJAVAN,2,E que Deus ajude,major,3,6,5
DJAVAN,2,E que Deus ajude,major,4,1,7
DJAVAN,2,E que Deus ajude,major,5,6,5
DJAVAN,2,E que Deus ajude,major,6,1,7
DJAVAN,2,E que Deus ajude,major,7,7,6
DJAVAN,2,E que Deus ajude,major,8,5,1
DJAVAN,2,E que Deus ajude,major,9,5,3
DJAVAN,2,E que Deus ajude,major,10,4,x
DJAVAN,2,E que Deus ajude,major,11,3,1
DJAVAN,2,E que Deus ajude,major,12,4,x
DJAVAN,2,E que Deus ajude,major,13,5,7
DJAVAN,2,E que Deus ajude,major,14,6,1
DJAVAN,2,E que Deus ajude,major,15,1,b9/#9
DJAVAN,2,E que Deus ajude,major,16,1,7
DJAVAN,2,E que Deus ajude,major,17,3,9
DJAVAN,2,E que Deus ajude,major,18,2,5
DJAVAN,2,E que Deus ajude,major,19,1,3
DJAVAN,2,E que Deus ajude,major,20,3,3
DJAVAN,2,E que Deus ajude,major,21,1,1
DJAVAN,2,E que Deus ajude,major,22,6,1
DJAVAN,2,E que Deus ajude,major,23,1,3
DJAVAN,2,E que Deus ajude,major,24,6,1
DJAVAN,2,E que Deus ajude,major,25,1,3
DJAVAN,2,E que Deus ajude,major,26,2,1
DJAVAN,2,E que Deus ajude,major,27,1,7
DJAVAN,2,E que Deus ajude,major,28,6,9
DJAVAN,2,E que Deus ajude,major,29,1,3
DJAVAN,2,E que Deus ajude,major,30,6,9
DJAVAN,2,E que Deus ajude,major,31,1,3
DJAVAN,2,E que Deus ajude,major,32,3,1
DJAVAN,2,E que Deus ajude,major,33,1,6
DJAVAN,2,E que Deus ajude,major,34,6,1
DJAVAN,2,E que Deus ajude,major,35,1,7
DJAVAN,2,E que Deus ajude,major,36,6,9
DJAVAN,2,E que Deus ajude,major,37,3,3
DJAVAN,2,E que Deus ajude,major,38,5,7
DJAVAN,2,E que Deus ajude,major,39,3,5
DJAVAN,2,E que Deus ajude,major,40,4,3
DJAVAN,2,E que Deus ajude,major,41,4,7
DJAVAN,2,E que Deus ajude,major,42,5,1
DJAVAN,2,E que Deus ajude,major,43,3,1
DJAVAN,2,E que Deus ajude,major,44,3,5
DJAVAN,2,E que Deus ajude,major,45,1,b9/#9
DJAVAN,2,E que Deus ajude,major,46,6,5
DJAVAN,2,E que Deus ajude,major,47,6,9
DJAVAN,2,E que Deus ajude,major,48,3,3
DJAVAN,2,E que Deus ajude,major,49,5,7
DJAVAN,2,E que Deus ajude,major,50,3,5
DJAVAN,2,E que Deus ajude,major,51,4,3
DJAVAN,2,E que Deus ajude,major,52,4,7
DJAVAN,2,E que Deus ajude,major,53,3,1
DJAVAN,2,E que Deus ajude,major,54,3,5
DJAVAN,2,E que Deus ajude,major,55,2,1
DJAVAN,2,E que Deus ajude,major,56,1,7
DJAVAN,2,E que Deus ajude,major,57,6,9
DJAVAN,2,E que Deus ajude,major,58,1,1
DJAVAN,2,E que Deus ajude,major,59,6,1
DJAVAN,2,E que Deus ajude,major,60,1,7
DJAVAN,2,E que Deus ajude,major,61,6,3
DJAVAN,2,E que Deus ajude,major,62,5,5
DJAVAN,2,E que Deus ajude,major,63,5,7
DJAVAN,2,E que Deus ajude,major,64,5,11
DJAVAN,2,E que Deus ajude,major,65,6,x
DJAVAN,2,E que Deus ajude,major,66,7,3
DJAVAN,2,E que Deus ajude,major,67,1,x
DJAVAN,2,E que Deus ajude,major,68,7,5
DJAVAN,2,E que Deus ajude,major,69,6,x
DJAVAN,2,E que Deus ajude,major,70,5,3
DJAVAN,2,E que Deus ajude,major,71,3,5
DJAVAN,2,E que Deus ajude,major,72,6,9
DJAVAN,2,E que Deus ajude,major,73,5,5
DJAVAN,2,E que Deus ajude,major,74,4,x
DJAVAN,2,E que Deus ajude,major,75,3,3
