corpus_id,composition_id,composition_name,word_index,c_word,r_word
EDU,1,Abandono,1,AAAApaaaSaapS,gjjjjjjb
EDU,1,Abandono,2,AAApppPuAppaA,ejjjjjjb
EDU,1,Abandono,3,SppppppppappS,ejjjjjjb
EDU,1,Abandono,4,APAPPSppP,ejjjfo
EDU,1,Abandono,5,upupuAppupP,uvvb
EDU,1,Abandono,6,Pupupupupupp,vvvb
EDU,1,Abandono,7,A,eb
EDU,1,Abandono,8,A,gb
EDU,1,Abandono,9,AAAApaaaSaaaS,ejjjjjjb
EDU,1,Abandono,10,SppppppppappS,ejjjjjjb
EDU,2,Acalanto,1,PPPPap,babbabbabb
EDU,2,Acalanto,2,PPAAap,babbabbabb
EDU,2,Acalanto,3,pPSPpp,ejbajaaab
EDU,2,Acalanto,4,pPSpu,ejbaeb
EDU,2,Acalanto,5,PPSp,bejb
EDU,2,Acalanto,6,ppPAAP,jjjb
EDU,2,Acalanto,7,as,jb
EDU,2,Acalanto,8,asAa,jbbb
EDU,2,Acalanto,9,PaPaPaa,ebabbabbabb
EDU,2,Acalanto,10,PasSa,bbabbabb
EDU,3,A historia de Lilly Braun,1,pPaau,llbb
EDU,3,A historia de Lilly Braun,2,AAAp,llb
EDU,3,A historia de Lilly Braun,3,APPpPaau,glllbb
EDU,3,A historia de Lilly Braun,4,pPA,lj
EDU,3,A historia de Lilly Braun,5,pPaau,llbb
EDU,3,A historia de Lilly Braun,6,AAApaAPppp,llllbj
EDU,3,A historia de Lilly Braun,7,Su,bbb
EDU,3,A historia de Lilly Braun,8,PppsApppp,ellllb
EDU,3,A historia de Lilly Braun,9,APP,bbj
EDU,3,A historia de Lilly Braun,10,PPP,elb
EDU,3,A historia de Lilly Braun,11,AaA,ebeb
EDU,3,A historia de Lilly Braun,12,Aus,bbj
EDU,4,Aguaverde,1,AA,ob
EDU,4,Aguaverde,2,AAPa,ot
EDU,4,Aguaverde,3,AAupPupP,ossb
EDU,4,Aguaverde,4,AAPa,nt
EDU,4,Aguaverde,5,AA,ob
EDU,4,Aguaverde,6,AAPa,ot
EDU,4,Aguaverde,7,AAupPupP,ossb
EDU,4,Aguaverde,8,ppPau,nqb
EDU,4,Aguaverde,9,pPpPaP,vq
EDU,4,Aguaverde,10,PPPPPpPpPaP,nuvq
EDU,4,Aguaverde,11,PPAPPPa,oslb
EDU,4,Aguaverde,12,Pa,bo
EDU,4,Aguaverde,13,p,p
EDU,4,Aguaverde,14,puAa,tm
EDU,4,Aguaverde,15,paaSpuAa,njtm
EDU,4,Aguaverde,16,puAa,tm
EDU,4,Aguaverde,17,paa,nj
EDU,4,Aguaverde,18,auuA,tm
EDU,5,Arrastao,1,aAAAaP,baosb
EDU,5,Arrastao,2,pPsAAAaP,jbosb
EDU,5,Arrastao,3,sAAAaP,baosb
EDU,5,Arrastao,4,sAAAaP,baosb
EDU,5,Arrastao,5,S,eb
EDU,5,Arrastao,6,ppppppppAp,ssojb
EDU,5,Arrastao,7,ppppppppAp,ssojb
EDU,5,Arrastao,8,AaApp,ejlb
EDU,5,Arrastao,9,AaA,ejb
EDU,5,Arrastao,10,ppApppPPp,jjjjbab
EDU,6,Arpoador,1,paAa,bol
EDU,6,Arpoador,2,PpA,sb
EDU,6,Arpoador,3,ppP,sb
EDU,6,Arpoador,4,aAa,ol
EDU,6,Arpoador,5,PpA,sb
EDU,6,Arpoador,6,ppuuupPP,ossb
EDU,6,Arpoador,7,uuuupPP,essb
EDU,6,Arpoador,8,uuuuuuuuupA,ssslb
EDU,6,Arpoador,9,ppppuuuuuu,fsssb
EDU,7,As mesmas historias,1,sS,baaeb
EDU,7,As mesmas historias,2,uuupPPpApa,rslnb
EDU,7,As mesmas historias,3,uuuupPupApppa,rsrsl
EDU,7,As mesmas historias,4,PPuppPPAuppPAA,ossssb
EDU,7,As mesmas historias,5,ppu,babeb
EDU,7,As mesmas historias,6,Aps,bnb
EDU,7,As mesmas historias,7,PPa,sb
EDU,7,As mesmas historias,8,ppua,sl
EDU,7,As mesmas historias,9,PPauPP,nlnb
EDU,7,As mesmas historias,10,ppua,sl
EDU,7,As mesmas historias,11,PPauPp,olob
EDU,8,Ave rara,1,uAuusA,nrn
EDU,8,Ave rara,2,upuuAs,nrn
EDU,8,Ave rara,3,upuuAs,nrn
EDU,8,Ave rara,4,pppaAP,jjbj
EDU,8,Ave rara,5,pPpApup,nrnaab
EDU,8,Ave rara,6,pPpsAA,nrn
EDU,8,Ave rara,7,pPpsAA,nrn
EDU,8,Ave rara,8,upPpApup,baaaanrnaab
EDU,8,Ave rara,9,pPpApp,nrn
EDU,8,Ave rara,10,AAs,bbn
EDU,8,Ave rara,11,aPAp,bbbn
EDU,8,Ave rara,12,aPAp,bbbn
EDU,9,Beatriz,1,psPPASa,bbbbbbbb
EDU,9,Beatriz,2,PPAAp,bbbbbb
EDU,9,Beatriz,3,PAAAp,bbbbbb
EDU,9,Beatriz,4,PPPSp,bbbbbb
EDU,9,Beatriz,5,AAuA,bbbbb
EDU,9,Beatriz,6,PuppPPPu,jjjjb
EDU,9,Beatriz,7,PPpppPPPu,ejjjjb
EDU,9,Beatriz,8,pppppppaS,ejjjjb
EDU,9,Beatriz,9,paAppPPPAp,ejjjjbaab
EDU,9,Beatriz,10,pppppAAPSu,bejjjjb
EDU,9,Beatriz,11,psApsApsp,ejjjjb
EDU,9,Beatriz,12,pppAAPSu,jjjbabb
EDU,9,Beatriz,13,a,baab
EDU,9,Beatriz,14,ppppppaPP,ejjjjb
EDU,9,Beatriz,15,pppppppaPP,bejjjjb
EDU,10,Boranda,1,uAP,ll
EDU,10,Boranda,2,ppapPuAs,gvlj
EDU,10,Boranda,3,uAP,lj
EDU,10,Boranda,4,ppapPupP,gvlj
EDU,10,Boranda,5,upuauaa,llrg
EDU,10,Boranda,6,upuaua,nlr
EDU,10,Boranda,7,upupuaa,nlre
EDU,10,Boranda,8,PAaPaa,plr
EDU,10,Boranda,9,APpAppa,plll
EDU,10,Boranda,10,uPauuP,nlr
EDU,10,Boranda,11,AAAu,bbbbb
EDU,10,Boranda,12,Spp,ebbb
EDU,10,Boranda,13,aSpu,jbbb
EDU,10,Boranda,14,aPp,jbb
EDU,10,Boranda,15,uAP,ll
EDU,10,Boranda,16,ppapPuAs,gvlj
EDU,10,Boranda,17,uAP,lj
EDU,10,Boranda,18,ppapPupP,gvlj
EDU,11,Branca Dias,1,uuuupAp,kdkdj
EDU,11,Branca Dias,2,pPuuuuuPPu,ebbkdkdj
EDU,11,Branca Dias,3,PApuuuuPPu,ebbkdkdj
EDU,11,Branca Dias,4,puup,ekdb
EDU,11,Branca Dias,5,uApup,ejebab
EDU,11,Branca Dias,6,uuuuPPu,kdkdj
EDU,11,Branca Dias,7,auuuuuuPPu,ebbkdkdj
EDU,11,Branca Dias,8,apPuuuuPPu,ebbkdkdj
EDU,11,Branca Dias,9,puauuuupAu,ebbkdkdj
EDU,11,Branca Dias,10,ppPuuuupAp,ebbkdkdj
EDU,11,Branca Dias,11,pPuuuuupAuppP,ebbkdkdjebb
EDU,12,Candeias,1,Appp,bbaabbe
EDU,12,Candeias,2,ppPSppp,fdkdfdae
EDU,12,Candeias,3,Ppup,kdbe
EDU,12,Candeias,4,PSpppP,fdbefdb
EDU,12,Candeias,5,APPu,kdbe
EDU,12,Candeias,6,PPuAappp,fdbeeebafd
EDU,12,Candeias,7,ppau,kdbe
EDU,12,Candeias,8,uuuApp,fdjeee
EDU,12,Candeias,9,ppppaAp,fdjeeeae
EDU,12,Candeias,10,pApSps,eejeee
EDU,12,Candeias,11,uuupPSp,kdkdbe
EDU,12,Candeias,12,uppPPuu,kdkdbe
EDU,12,Candeias,13,pu,fdb
EDU,12,Candeias,14,ppAp,kdbe
EDU,12,Candeias,15,PPupPPp,eebakdbe
EDU,12,Candeias,16,paa,eebe
EDU,12,Candeias,17,pau,eebe
EDU,12,Candeias,18,PPuuuPu,eebakdbe
EDU,13,Cancao da terra,1,uuuuppA,ejtm
EDU,13,Cancao da terra,2,uuuuppP,ejtm
EDU,13,Cancao da terra,3,uuuuppA,ejtm
EDU,13,Cancao da terra,4,uuuupAa,ejjr
