corpus_id,composition_id,composition_name,chord_index,root,bass,chord_type,chord_symbol,functional_category,key,mode,position
EDU,1,Abandono,1,1,1,Y2.1.3,*7(#9.#11),SubV/VI,4,minor,1.0
EDU,1,Abandono,2,0,0,Z2,*M7.9,Np/V,4,minor,2.0
EDU,1,Abandono,3,11,11,Y2.1.3,*7(#9.#11),V,4,minor,3.0
EDU,1,Abandono,4,4,4,z2.1,*m7.9.11,I,4,minor,4.0
EDU,1,Abandono,5,1,1,Y2.1.3,*7(#9.#11),SubV/VI,4,minor,5.0
EDU,1,Abandono,6,0,0,Z1.1,*6.9,Np/V,4,minor,6.0
EDU,1,Abandono,7,11,11,Y2.4,*7(#9),V,4,minor,7.0
EDU,1,Abandono,8,4,4,z2.1,*m7.9.11,I,4,minor,8.0
EDU,1,Abandono,9,7,7,Y4,*7.13,V/VI,4,minor,9.0
EDU,1,Abandono,10,0,0,Z1.1,*6.9,Np/V,4,minor,10.0
EDU,1,Abandono,11,11,11,Y2.3,*7(b9),V,4,minor,11.0
EDU,1,Abandono,12,4,4,z2.1,*m7.9.11,I,4,minor,12.0
EDU,1,Abandono,13,4,4,Y2.3,*7(b9),V/IV,4,minor,13.0
EDU,1,Abandono,14,4,4,Y2.2.1.1,*7(b9.b13),V/IV,4,minor,14.5
EDU,1,Abandono,15,5,5,Z5.1,*6.M7.9,IV,0,major,15.0
EDU,1,Abandono,16,2,2,z0,*m7,II,0,major,16.0
EDU,1,Abandono,17,0,0,Z2,*M7.9,I,0,major,17.0
EDU,1,Abandono,18,5,5,Z3,*M7(#11),IV,0,major,18.0
EDU,1,Abandono,19,5,5,Z0,*M7,IV,0,major,18.5
EDU,1,Abandono,20,11,11,X0,*(b5)7,V,4,minor,19.0
EDU,1,Abandono,21,5,5,Y2.1.1,*7.9(#11)13,SubV,4,minor,20.0
EDU,1,Abandono,22,11,11,Y2.2.2.1,*7(#9.b13),V,4,minor,21.0
EDU,1,Abandono,23,4,4,z2,*m7.9,I,4,minor,22.0
EDU,2,Acalanto,1,4,2,z2,*m7.9,I,4,minor,1.0
EDU,2,Acalanto,2,1,1,Y2.1.3,*7(#9.#11),SubV/VI,4,minor,2.0
EDU,2,Acalanto,3,0,0,Z5.1,*6.M7.9,VI,4,minor,3.0
EDU,2,Acalanto,4,11,11,Y1.1.3,*4.7(b9),V,4,minor,4.0
EDU,2,Acalanto,5,11,11,Y2.3,*7(b9),V,4,minor,4.5
EDU,2,Acalanto,6,4,2,z2,*m7.9,I,4,minor,5.0
EDU,2,Acalanto,7,1,1,Y2.1.3,*7(#9.#11),SubV/VI,4,minor,6.0
EDU,2,Acalanto,8,0,0,Z5.1,*6.M7.9,VI,4,minor,7.0
EDU,2,Acalanto,9,11,11,Y1.1.3,*4.7(b9),V,4,minor,8.0
EDU,2,Acalanto,10,11,11,Y2.3,*7(b9),V,4,minor,8.5
EDU,2,Acalanto,11,4,4,Y1.1,*4.7.9,V/IV,4,minor,9.0
