corpus_id,composition_id,composition_name,mode,note_index,scale_degree,note_function
EDU,1,Abandono,minor,1,5,1
EDU,1,Abandono,minor,2,1,b9/#9
EDU,1,Abandono,minor,3,3,#11
EDU,1,Abandono,minor,4,5,7
EDU,1,Abandono,minor,5,1,b9/#9
EDU,1,Abandono,minor,6,b7,9
EDU,1,Abandono,minor,7,5,7
EDU,1,Abandono,minor,8,3,5
EDU,1,Abandono,minor,9,1,3
EDU,1,Abandono,minor,10,b7,b9/#9
EDU,1,Abandono,minor,11,5,1
EDU,1,Abandono,minor,12,3,b13
EDU,1,Abandono,minor,13,7,3
EDU,1,Abandono,minor,14,5,5
EDU,1,Abandono,minor,15,1,b9/#9
EDU,1,Abandono,minor,16,3,#11
EDU,1,Abandono,minor,17,5,7
EDU,1,Abandono,minor,18,#4/b5,x
EDU,1,Abandono,minor,19,4,x
EDU,1,Abandono,minor,20,3,5
EDU,1,Abandono,minor,21,4,x
EDU,1,Abandono,minor,22,3,5
EDU,1,Abandono,minor,23,b7,b9/#9
EDU,1,Abandono,minor,24,#6,x
EDU,1,Abandono,minor,25,6,b9/#9
EDU,1,Abandono,minor,26,3,b13
EDU,1,Abandono,minor,27,5,5
EDU,1,Abandono,minor,28,5,3
EDU,1,Abandono,minor,29,#4/b5,x
EDU,1,Abandono,minor,30,4,9
EDU,1,Abandono,minor,31,#3,x
EDU,1,Abandono,minor,32,3,5
EDU,1,Abandono,minor,33,2,x
EDU,1,Abandono,minor,34,#1/b2,x
EDU,1,Abandono,minor,35,1,3
EDU,1,Abandono,minor,36,7,3
EDU,1,Abandono,minor,37,6,b9/#9
EDU,1,Abandono,minor,38,5,1
EDU,1,Abandono,minor,39,4,7
EDU,1,Abandono,minor,40,1,1
EDU,1,Abandono,minor,41,5,5
EDU,1,Abandono,minor,42,1,1
EDU,1,Abandono,minor,43,#1/b2,b9/#9
EDU,1,Abandono,minor,44,#3,3
EDU,1,Abandono,minor,45,4,x
EDU,1,Abandono,minor,46,5,5
EDU,1,Abandono,minor,47,#1/b2,b9/#9
EDU,1,Abandono,minor,48,1,x
EDU,1,Abandono,minor,49,b7,7
EDU,1,Abandono,minor,50,1,7
EDU,3,A historia de Lilly Braun,major,1,5,5
EDU,3,A historia de Lilly Braun,major,2,#4/b5,x
EDU,3,A historia de Lilly Braun,major,3,5,5
EDU,3,A historia de Lilly Braun,major,4,#2/b3,b9/#9
EDU,3,A historia de Lilly Braun,major,5,1,5
EDU,3,A historia de Lilly Braun,major,6,#4/b5,3
EDU,3,A historia de Lilly Braun,major,7,6,5
EDU,3,A historia de Lilly Braun,major,8,1,7
EDU,3,A historia de Lilly Braun,major,9,4,b9/#9
EDU,3,A historia de Lilly Braun,major,10,#2/b3,b13
EDU,3,A historia de Lilly Braun,major,11,1,3
EDU,3,A historia de Lilly Braun,major,12,#2/b3,b13
EDU,3,A historia de Lilly Braun,major,13,4,x
EDU,3,A historia de Lilly Braun,major,14,5,5
EDU,3,A historia de Lilly Braun,major,15,#4/b5,x
EDU,3,A historia de Lilly Braun,major,16,5,5
EDU,3,A historia de Lilly Braun,major,17,#2/b3,b9/#9
EDU,3,A historia de Lilly Braun,major,18,1,5
EDU,3,A historia de Lilly Braun,major,19,2,5
EDU,3,A historia de Lilly Braun,major,20,#1/b2,x
EDU,3,A historia de Lilly Braun,major,21,2,5
EDU,3,A historia de Lilly Braun,major,22,5,1
EDU,3,A historia de Lilly Braun,major,23,5,5
EDU,3,A historia de Lilly Braun,major,24,#4/b5,x
EDU,3,A historia de Lilly Braun,major,25,5,5
EDU,3,A historia de Lilly Braun,major,26,#2/b3,b9/#9
EDU,3,A historia de Lilly Braun,major,27,1,5
EDU,3,A historia de Lilly Braun,major,28,#4/b5,3
EDU,3,A historia de Lilly Braun,major,29,6,5
EDU,3,A historia de Lilly Braun,major,30,1,7
EDU,3,A historia de Lilly Braun,major,31,4,b9/#9
EDU,3,A historia de Lilly Braun,major,32,#2/b3,b13
EDU,3,A historia de Lilly Braun,major,33,1,3
EDU,3,A historia de Lilly Braun,major,34,#2/b3,b13
EDU,3,A historia de Lilly Braun,major,35,4,x
EDU,3,A historia de Lilly Braun,major,36,#2/b3,b9/#9
EDU,3,A historia de Lilly Braun,major,37,1,5
EDU,3,A historia de Lilly Braun,major,38,1,7
EDU,3,A historia de Lilly Braun,major,39,1,#11
EDU,3,A historia de Lilly Braun,major,40,1,1
EDU,3,A historia de Lilly Braun,major,41,5,5
EDU,3,A historia de Lilly Braun,major,42,6,x
EDU,3,A historia de Lilly Braun,major,43,#6/b7,7
EDU,3,A historia de Lilly Braun,major,44,6,x
EDU,3,A historia de Lilly Braun,major,45,5,5
EDU,3,A historia de Lilly Braun,major,46,1,1
EDU,3,A historia de Lilly Braun,major,47,#2/b3,b9/#9
EDU,3,A historia de Lilly Braun,major,48,2,x
EDU,3,A historia de Lilly Braun,major,49,1,1
EDU,3,A historia de Lilly Braun,major,50,#6/b7,x
EDU,3,A historia de Lilly Braun,major,51,6,3
EDU,3,A historia de Lilly Braun,major,52,1,5
EDU,3,A historia de Lilly Braun,major,53,4,1
EDU,3,A historia de Lilly Braun,major,54,5,9
EDU,3,A historia de Lilly Braun,major,55,6,3
EDU,3,A historia de Lilly Braun,major,56,3,x
EDU,3,A historia de Lilly Braun,major,57,4,1
EDU,3,A historia de Lilly Braun,major,58,#4/b5,x
EDU,3,A historia de Lilly Braun,major,59,5,7
EDU,3,A historia de Lilly Braun,major,60,3,5
EDU,3,A historia de Lilly Braun,major,61,5,7
EDU,3,A historia de Lilly Braun,major,62,3,5
EDU,3,A historia de Lilly Braun,major,63,5,7
EDU,3,A historia de Lilly Braun,major,64,3,5
EDU,3,A historia de Lilly Braun,major,65,6,1
EDU,3,A historia de Lilly Braun,major,66,2,1
EDU,3,A historia de Lilly Braun,major,67,2,#11
EDU,4,Aguaverde,minor,1,5,5
EDU,4,Aguaverde,minor,2,b7,7
EDU,4,Aguaverde,minor,3,2,9
EDU,4,Aguaverde,minor,4,5,5
EDU,4,Aguaverde,minor,5,b7,7
EDU,4,Aguaverde,minor,6,2,9
EDU,4,Aguaverde,minor,7,3,3
EDU,4,Aguaverde,minor,8,1,1
EDU,4,Aguaverde,minor,9,5,5
EDU,4,Aguaverde,minor,10,b7,7
EDU,4,Aguaverde,minor,11,2,9
EDU,4,Aguaverde,minor,12,1,x
EDU,4,Aguaverde,minor,13,2,9
EDU,4,Aguaverde,minor,14,1,x
EDU,4,Aguaverde,minor,15,2,9
EDU,4,Aguaverde,minor,16,5,5
EDU,4,Aguaverde,minor,17,b7,7
EDU,4,Aguaverde,minor,18,2,9
EDU,4,Aguaverde,minor,19,3,3
EDU,4,Aguaverde,minor,20,1,1
EDU,5,Arrastao,major,1,6,5
EDU,5,Arrastao,major,2,2,1
EDU,5,Arrastao,major,3,4,3
EDU,5,Arrastao,major,4,6,5
EDU,5,Arrastao,major,5,1,7
EDU,5,Arrastao,major,6,6,5
EDU,5,Arrastao,major,7,7,5
EDU,5,Arrastao,major,8,6,5
EDU,5,Arrastao,major,9,5,x
EDU,5,Arrastao,major,10,6,5
EDU,5,Arrastao,major,11,2,1
EDU,5,Arrastao,major,12,4,3
EDU,5,Arrastao,major,13,6,5
EDU,5,Arrastao,major,14,1,7
EDU,5,Arrastao,major,15,6,5
EDU,5,Arrastao,major,16,7,5
EDU,5,Arrastao,major,17,3,1
EDU,5,Arrastao,major,18,5,3
EDU,5,Arrastao,major,19,7,5
EDU,5,Arrastao,major,20,2,7
EDU,5,Arrastao,major,21,7,5
EDU,5,Arrastao,major,22,#1/b2,6
EDU,5,Arrastao,major,23,1,7
EDU,5,Arrastao,major,24,4,3
EDU,5,Arrastao,major,25,6,5
EDU,5,Arrastao,major,26,1,7
EDU,5,Arrastao,major,27,3,9
EDU,5,Arrastao,major,28,1,7
EDU,5,Arrastao,major,29,2,5
EDU,5,Arrastao,major,30,1,1
EDU,5,Arrastao,major,31,5,5
EDU,5,Arrastao,major,32,4,x
EDU,5,Arrastao,major,33,3,3
EDU,5,Arrastao,major,34,2,x
EDU,5,Arrastao,major,35,1,1
EDU,5,Arrastao,major,36,#6/b7,7
EDU,5,Arrastao,major,37,6,x
EDU,5,Arrastao,major,38,5,5
EDU,5,Arrastao,major,39,4,3
EDU,5,Arrastao,major,40,6,13
EDU,5,Arrastao,major,41,5,9
EDU,5,Arrastao,major,42,5,13
EDU,5,Arrastao,major,43,5,5
EDU,5,Arrastao,major,44,4,x
EDU,5,Arrastao,major,45,3,3
EDU,5,Arrastao,major,46,2,x
EDU,5,Arrastao,major,47,1,1
EDU,5,Arrastao,major,48,#6/b7,7
EDU,5,Arrastao,major,49,6,x
EDU,5,Arrastao,major,50,5,5
EDU,5,Arrastao,major,51,4,3
EDU,5,Arrastao,major,52,6,13
EDU,5,Arrastao,major,53,5,9
EDU,5,Arrastao,major,54,5,1
EDU,5,Arrastao,major,55,7,3
EDU,5,Arrastao,major,56,5,1
EDU,5,Arrastao,major,57,1,1
EDU,5,Arrastao,major,58,7,x
EDU,5,Arrastao,major,59,6,6
EDU,5,Arrastao,major,60,6,1
EDU,5,Arrastao,major,61,#1/b2,3
EDU,5,Arrastao,major,62,6,1
EDU,5,Arrastao,major,63,2,1
EDU,5,Arrastao,major,64,2,3
EDU,5,Arrastao,major,65,1,x
EDU,5,Arrastao,major,66,7,#11
EDU,5,Arrastao,major,67,2,6
EDU,5,Arrastao,major,68,1,1
EDU,5,Arrastao,major,69,7,x
EDU,5,Arrastao,major,70,6,#11
EDU,5,Arrastao,major,71,1,6
EDU,5,Arrastao,major,72,1,1
EDU,5,Arrastao,major,73,7,3
EDU,6,Arpoador,major,1,3,3
EDU,6,Arpoador,major,2,#2/b3,x
EDU,6,Arpoador,major,3,7,7
EDU,6,Arpoador,major,4,2,9
EDU,6,Arpoador,major,5,7,7
EDU,6,Arpoador,major,6,3,9
EDU,6,Arpoador,major,7,4,x
EDU,6,Arpoador,major,8,3,9
EDU,6,Arpoador,major,9,5,#11
EDU,6,Arpoador,major,10,#4/b5,x
EDU,6,Arpoador,major,11,4,x
EDU,6,Arpoador,major,12,#2/b3,b9/#9
EDU,6,Arpoador,major,13,3,3
EDU,6,Arpoador,major,14,#2/b3,x
EDU,6,Arpoador,major,15,7,7
EDU,6,Arpoador,major,16,2,9
EDU,6,Arpoador,major,17,7,7
EDU,6,Arpoador,major,18,5,#11
EDU,6,Arpoador,major,19,#5/b6,x
EDU,6,Arpoador,major,20,5,#11
EDU,6,Arpoador,major,21,#6/b7,b13
EDU,6,Arpoador,major,22,#5/b6,5
EDU,6,Arpoador,major,23,5,x
EDU,6,Arpoador,major,24,4,3
EDU,6,Arpoador,major,25,3,x
EDU,6,Arpoador,major,26,4,3
EDU,6,Arpoador,major,27,#4/b5,#11
EDU,6,Arpoador,major,28,5,5
EDU,6,Arpoador,major,29,5,9
EDU,6,Arpoador,major,30,4,x
EDU,6,Arpoador,major,31,5,9
EDU,6,Arpoador,major,32,6,3
EDU,6,Arpoador,major,33,4,3
EDU,6,Arpoador,major,34,4,7
EDU,6,Arpoador,major,35,3,13
EDU,6,Arpoador,major,36,5,5
EDU,6,Arpoador,major,37,5,7
EDU,6,Arpoador,major,38,5,6
EDU,6,Arpoador,major,39,#6/b7,b9/#9
EDU,6,Arpoador,major,40,6,x
EDU,6,Arpoador,major,41,5,7
EDU,6,Arpoador,major,42,4,x
EDU,6,Arpoador,major,43,3,9
EDU,6,Arpoador,major,44,3,13
EDU,7,As mesmas historias,major,1,1,3
EDU,7,As mesmas historias,major,2,#2/b3,5
EDU,7,As mesmas historias,major,3,7,7
EDU,7,As mesmas historias,major,4,1,3
EDU,7,As mesmas historias,major,5,7,x
EDU,7,As mesmas historias,major,6,1,3
EDU,7,As mesmas historias,major,7,2,9
EDU,7,As mesmas historias,major,8,1,1
EDU,7,As mesmas historias,major,9,#2/b3,3
EDU,7,As mesmas historias,major,10,2,9
EDU,7,As mesmas historias,major,11,7,7
EDU,7,As mesmas historias,major,12,#6/b7,7
EDU,7,As mesmas historias,major,13,6,x
EDU,7,As mesmas historias,major,14,7,1
EDU,7,As mesmas historias,major,15,6,7
EDU,7,As mesmas historias,major,16,2,b9/#9
EDU,7,As mesmas historias,major,17,1,b9/#9
EDU,7,As mesmas historias,major,18,7,1
EDU,7,As mesmas historias,major,19,7,7
EDU,7,As mesmas historias,major,20,5,5
EDU,7,As mesmas historias,major,21,6,x
EDU,7,As mesmas historias,major,22,5,11
EDU,7,As mesmas historias,major,23,4,x
EDU,7,As mesmas historias,major,24,3,9
EDU,7,As mesmas historias,major,25,4,x
EDU,7,As mesmas historias,major,26,5,11
EDU,7,As mesmas historias,major,27,#6/b7,13
EDU,7,As mesmas historias,major,28,#5/b6,x
EDU,7,As mesmas historias,major,29,5,#11
EDU,7,As mesmas historias,major,30,#5/b6,x
EDU,7,As mesmas historias,major,31,7,7
EDU,7,As mesmas historias,major,32,2,9
EDU,7,As mesmas historias,major,33,1,5
EDU,7,As mesmas historias,major,34,7,6
EDU,7,As mesmas historias,major,35,6,5
EDU,7,As mesmas historias,major,36,6,11
EDU,7,As mesmas historias,major,37,5,7
EDU,7,As mesmas historias,major,38,#6/b7,b9/#9
EDU,7,As mesmas historias,major,39,6,1
EDU,7,As mesmas historias,major,40,2,1
EDU,7,As mesmas historias,major,41,2,5
EDU,7,As mesmas historias,major,42,3,13
EDU,7,As mesmas historias,major,43,4,x
EDU,7,As mesmas historias,major,44,5,1
EDU,7,As mesmas historias,major,45,3,1
EDU,7,As mesmas historias,major,46,3,5
