corpus_id,composition_id,composition_name,word_index,c_word,r_word
GIL,1,Andar com fe,1,uaAup,rt
GIL,1,Andar com fe,2,Aupuupa,grrb
GIL,1,Andar com fe,3,uaAup,rt
GIL,1,Andar com fe,4,Aupuupa,grrb
GIL,1,Andar com fe,5,auaua,rr
GIL,1,Andar com fe,6,SauPaua,grrc
GIL,1,Andar com fe,7,p,bb
GIL,1,Andar com fe,8,PPppp,gnu
GIL,1,Andar com fe,9,auaua,rr
GIL,1,Andar com fe,10,SauPaua,grrc
GIL,1,Andar com fe,11,p,bb
GIL,1,Andar com fe,12,PPppp,gnu
GIL,2,Aquele abraco,1,ppppusAAAupa,gvvrg
GIL,2,Aquele abraco,2,ppppusAAAupa,gvvrg
GIL,2,Aquele abraco,3,ppppusAAAup,gvvr
GIL,2,Aquele abraco,4,AaAappa,uvc
GIL,2,Aquele abraco,5,uup,gq
GIL,2,Aquele abraco,6,upuPupp,uvb
GIL,2,Aquele abraco,7,uup,nn
GIL,2,Aquele abraco,8,AaAappa,uvc
GIL,2,Aquele abraco,9,uup,gq
GIL,2,Aquele abraco,10,upuPupp,uvb
GIL,2,Aquele abraco,11,uuaa,nng
GIL,2,Aquele abraco,12,uppapuP,nnrc
GIL,2,Aquele abraco,13,uupa,nng
GIL,2,Aquele abraco,14,uppapuP,nnrc
GIL,2,Aquele abraco,15,uupa,nng
GIL,2,Aquele abraco,16,uppapuP,nnrc
GIL,2,Aquele abraco,17,uupa,nng
GIL,2,Aquele abraco,18,uppapuP,nnrc
GIL,2,Aquele abraco,19,uupa,nng
GIL,2,Aquele abraco,20,uppapuP,nrnc
GIL,2,Aquele abraco,21,uupa,nng
GIL,2,Aquele abraco,22,uppapuP,nrnc
GIL,2,Aquele abraco,23,uupa,nng
GIL,2,Aquele abraco,24,uppapuP,nrnc
GIL,2,Aquele abraco,25,uupa,nng
GIL,2,Aquele abraco,26,uppapuP,nrnc
GIL,2,Aquele abraco,27,uupa,nng
GIL,3,Aqui e agora,1,AppppAupp,ptmpb
GIL,3,Aqui e agora,2,Ppp,pl
GIL,3,Aqui e agora,3,AppppAupp,ptmpb
GIL,3,Aqui e agora,4,Ppp,pbb
GIL,3,Aqui e agora,5,AppppAs,ptmaab
GIL,3,Aqui e agora,6,AppppAa,ptmaab
GIL,3,Aqui e agora,7,AppppAs,ptmaab
GIL,3,Aqui e agora,8,AppppPP,ptmaab
GIL,4,Barato total,1,uPupuPu,vv
GIL,4,Barato total,2,uPupu,pv
GIL,4,Barato total,3,uPupu,pv
GIL,4,Barato total,4,uu,pb
GIL,4,Barato total,5,uPupuPuPu,vvh
GIL,4,Barato total,6,Puupuupuupuupuup,pvvvq
GIL,4,Barato total,7,uPupuPupuuP,vvv
GIL,4,Barato total,8,PauuPuua,pvr
GIL,4,Barato total,9,pA,mb
GIL,4,Barato total,10,uPupuPuPu,vvh
GIL,4,Barato total,11,Puupupuupuupuup,pvvvh
GIL,4,Barato total,12,uPuPupu,vv
GIL,4,Barato total,13,uPuPupu,vv
GIL,4,Barato total,14,uuuuuuPuuaP,uvvb
GIL,4,Barato total,15,upupupPppPP,pvtq
GIL,4,Barato total,16,upupupPppPP,vqvb
GIL,4,Barato total,17,uPuPupupu,vvh
GIL,4,Barato total,18,uPupupu,pvh
GIL,4,Barato total,19,uPupPuppa,pvrc
GIL,4,Barato total,20,uupupA,vq
GIL,4,Barato total,21,uuu,ub
GIL,4,Barato total,22,uuu,gq
GIL,4,Barato total,23,uuSuuup,gvr
GIL,5,Chororo,1,APPpPaa,qmmc
GIL,5,Chororo,2,APPpPa,qmm
GIL,5,Chororo,3,APPpPaa,qmmc
GIL,5,Chororo,4,AppppA,rnn
GIL,5,Chororo,5,Ppppu,euh
GIL,5,Chororo,6,uuPpppu,pvh
GIL,5,Chororo,7,AsSAsAAsAAaP,pvvq
GIL,5,Chororo,8,uuaApu,vlb
GIL,5,Chororo,9,uuaAup,vq
GIL,5,Chororo,10,PAPPppp,bvjb
GIL,5,Chororo,11,APPppp,vlb
GIL,5,Chororo,12,uuauuAuu,pttb
GIL,5,Chororo,13,auAauPuauuupA,uvvlb
GIL,5,Chororo,14,uuauuAuu,pttb
GIL,5,Chororo,15,auAauPuauuupu,uvvlb
GIL,6,Cerebro eletronico,1,AaAap,gjr
GIL,6,Cerebro eletronico,2,pPAu,grc
GIL,6,Cerebro eletronico,3,Aaaa,nej
GIL,6,Cerebro eletronico,4,aAu,jl
GIL,6,Cerebro eletronico,5,puaa,ejbb
GIL,6,Cerebro eletronico,6,AaAap,gjr
GIL,6,Cerebro eletronico,7,pPAu,grc
GIL,6,Cerebro eletronico,8,Auaaa,nrc
GIL,6,Cerebro eletronico,9,AaAu,gjl
GIL,6,Cerebro eletronico,10,puuaa,jjj
GIL,6,Cerebro eletronico,11,uaaAaA,bjnn
GIL,6,Cerebro eletronico,12,AaAaSp,gjjn
GIL,6,Cerebro eletronico,13,aaAaA,nnn
GIL,6,Cerebro eletronico,14,AaAaSp,gjjl
GIL,6,Cerebro eletronico,15,aaAaA,ggnn
GIL,6,Cerebro eletronico,16,AaAa,gtc
GIL,6,Cerebro eletronico,17,uapppa,nnnc
GIL,6,Cerebro eletronico,18,papppa,nnnc
GIL,6,Cerebro eletronico,19,aaAaA,jnn
GIL,6,Cerebro eletronico,20,AaAaSp,gjjn
GIL,6,Cerebro eletronico,21,aaAaA,nnn
GIL,6,Cerebro eletronico,22,AaAaSp,gjjl
GIL,6,Cerebro eletronico,23,aaAaA,ggnn
GIL,6,Cerebro eletronico,24,AaA,gt
GIL,6,Cerebro eletronico,25,AaSuapppa,gtnnn
GIL,6,Cerebro eletronico,26,Apapppa,nntg
GIL,7,Copo vazio,1,aPPpp,jjeb
GIL,7,Copo vazio,2,PPPaa,jjj
GIL,7,Copo vazio,3,uPPPa,ejjb
GIL,7,Copo vazio,4,aPPpp,jjeb
GIL,7,Copo vazio,5,PPPaaPPu,jjjje
GIL,7,Copo vazio,6,uPPPPpaA,ejjjee
GIL,7,Copo vazio,7,AaApppPP,kdkdje
GIL,7,Copo vazio,8,pp,ej
GIL,7,Copo vazio,9,PPPp,jjb
GIL,7,Copo vazio,10,aPPaA,jjeb
GIL,7,Copo vazio,11,Ppp,jeb
GIL,7,Copo vazio,12,ppppPPPppp,jjjjjb
GIL,7,Copo vazio,13,PPppP,ejbeb
GIL,7,Copo vazio,14,pPpP,ejeb
GIL,7,Copo vazio,15,PupPppa,ejjej
GIL,7,Copo vazio,16,pPupPpPupPpp,ejjjjjeb
GIL,7,Copo vazio,17,pP,ej
GIL,7,Copo vazio,18,PuaA,ejj
GIL,7,Copo vazio,19,AaAu,ejj
GIL,7,Copo vazio,20,AaAaAaA,ejjq
GIL,7,Copo vazio,21,AaA,eq
GIL,7,Copo vazio,22,uaAaA,ejjb
GIL,7,Copo vazio,23,uaAuaAu,ejjjb
GIL,7,Copo vazio,24,uaAuaA,ejjj
GIL,7,Copo vazio,25,uaAuaAu,ejjjb
GIL,7,Copo vazio,26,ppPPP,jjj
GIL,7,Copo vazio,27,ppPPP,jjj
GIL,7,Copo vazio,28,ppAp,jjb
GIL,7,Copo vazio,29,ppPPPp,jjjb
GIL,7,Copo vazio,30,pPPPpppPa,jejjbj
GIL,8,Cores vivas,1,Au,bl
GIL,8,Cores vivas,2,ppppAu,vbl
GIL,8,Cores vivas,3,Au,bl
GIL,8,Cores vivas,4,pppp,vb
GIL,8,Cores vivas,5,Au,bl
GIL,8,Cores vivas,6,ppppPp,gnnn
GIL,8,Cores vivas,7,Pu,bl
GIL,8,Cores vivas,8,ppPA,gnn
GIL,8,Cores vivas,9,Pu,bl
