corpus_id,composition_id,composition_name,chord_index,root,bass,chord_type,chord_symbol,functional_category,key,mode,position
GIL,1,Andar com fe,1,4,4,Z1,*6,I,4,major,1.0
GIL,1,Andar com fe,2,11,11,Y0,*7,V,4,major,3.0
GIL,1,Andar com fe,3,11,11,Y1,*4.7,V,4,major,4.0
GIL,1,Andar com fe,4,11,11,Y0,*7,V,4,major,4.5
GIL,1,Andar com fe,5,4,4,Z1,*6,I,4,major,5.0
GIL,1,Andar com fe,6,11,11,Y0,*7,V,4,major,7.0
GIL,1,Andar com fe,7,11,11,Y1,*4.7,V,4,major,8.0
GIL,1,Andar com fe,8,11,11,Y0,*7,V,4,major,8.5
GIL,1,Andar com fe,9,4,4,Z1,*6,I,4,major,9.0
GIL,1,Andar com fe,10,11,11,Y0,*7,V,4,major,11.0
GIL,1,Andar com fe,11,9,9,V0,*,IV,4,major,13.0
GIL,1,Andar com fe,12,8,8,z0,*m7,III,4,major,14.0
GIL,1,Andar com fe,13,6,6,z0,*m7,II,4,major,15.0
GIL,1,Andar com fe,14,11,11,Y0,*7,V,4,major,16.0
GIL,1,Andar com fe,15,4,4,Z1,*6,I,4,major,17.0
GIL,1,Andar com fe,16,11,11,Y0,*7,V,4,major,19.0
GIL,1,Andar com fe,17,9,9,V0,*,IV,4,major,21.0
GIL,1,Andar com fe,18,8,8,z0,*m7,III,4,major,22.0
GIL,1,Andar com fe,19,6,6,z0,*m7,II,4,major,23.0
GIL,1,Andar com fe,20,11,11,Y1,*4.7,V,4,major,24.0
GIL,1,Andar com fe,21,11,11,Y0,*7,V,4,major,24.5
GIL,1,Andar com fe,22,4,4,Z1,*6,I,4,major,25.0
GIL,2,Aquele abraco,1,4,4,Y2,*7.9,I,4,major,1.0
GIL,2,Aquele abraco,2,9,9,Y4,*7.13,IV7,4,major,2.0
GIL,2,Aquele abraco,3,4,4,Y2,*7.9,I,4,major,3.0
GIL,2,Aquele abraco,4,9,9,Y4,*7.13,IV7,4,major,4.0
GIL,2,Aquele abraco,5,4,4,Y2,*7.9,I,4,major,5.0
GIL,2,Aquele abraco,6,9,9,Y4,*7.13,IV7,4,major,6.0
GIL,2,Aquele abraco,7,4,4,Y2,*7.9,I,4,major,7.0
GIL,2,Aquele abraco,8,9,9,Y4,*7.13,IV7,4,major,8.0
GIL,2,Aquele abraco,9,4,4,Y2,*7.9,I,4,major,9.0
GIL,2,Aquele abraco,10,9,9,Y4,*7.13,IV7,4,major,10.0
GIL,2,Aquele abraco,11,1,1,z0,*m7,II__X,4,major,11.0
GIL,2,Aquele abraco,12,6,6,Y0,*7,V/V,4,major,12.0
GIL,2,Aquele abraco,13,1,1,z0,*m7,II__X,4,major,13.0
GIL,2,Aquele abraco,14,6,6,Y0,*7,V/V,4,major,14.0
GIL,2,Aquele abraco,15,1,1,z0,*m7,II__X,4,major,15.0
GIL,2,Aquele abraco,16,6,6,Y0,*7,V/V,4,major,16.0
GIL,2,Aquele abraco,17,1,1,z0,*m7,II__X,4,major,17.0
GIL,2,Aquele abraco,18,6,6,Y0,*7,V/V,4,major,18.0
