corpus_id,composition_id,composition_name,mode,note_index,scale_degree,note_function
GIL,1,Andar com fe,major,1,5,5
GIL,1,Andar com fe,major,2,3,3
GIL,1,Andar com fe,major,3,6,6
GIL,1,Andar com fe,major,4,5,5
GIL,1,Andar com fe,major,5,3,3
GIL,1,Andar com fe,major,6,6,6
GIL,1,Andar com fe,major,7,5,5
GIL,1,Andar com fe,major,8,5,1
GIL,1,Andar com fe,major,9,4,7
GIL,1,Andar com fe,major,10,2,5
GIL,1,Andar com fe,major,11,3,3
GIL,1,Andar com fe,major,12,1,1
GIL,1,Andar com fe,major,13,5,5
GIL,1,Andar com fe,major,14,3,3
GIL,1,Andar com fe,major,15,5,5
GIL,1,Andar com fe,major,16,3,3
GIL,1,Andar com fe,major,17,1,1
GIL,1,Andar com fe,major,18,2,5
GIL,1,Andar com fe,major,19,7,3
GIL,1,Andar com fe,major,20,5,1
GIL,1,Andar com fe,major,21,2,5
GIL,1,Andar com fe,major,22,1,5
GIL,1,Andar com fe,major,23,6,11
GIL,1,Andar com fe,major,24,7,5
GIL,1,Andar com fe,major,25,1,x
GIL,1,Andar com fe,major,26,7,5
GIL,1,Andar com fe,major,27,6,x
GIL,1,Andar com fe,major,28,5,11
GIL,2,Aquele abraco,major,1,5,5
GIL,2,Aquele abraco,major,2,4,x
GIL,2,Aquele abraco,major,3,3,3
GIL,2,Aquele abraco,major,4,2,x
GIL,2,Aquele abraco,major,5,1,1
GIL,2,Aquele abraco,major,6,1,5
GIL,2,Aquele abraco,major,7,4,1
GIL,2,Aquele abraco,major,8,6,3
GIL,2,Aquele abraco,major,9,1,5
GIL,2,Aquele abraco,major,10,4,1
GIL,2,Aquele abraco,major,11,3,3
GIL,2,Aquele abraco,major,12,1,1
GIL,2,Aquele abraco,major,13,1,5
GIL,2,Aquele abraco,major,14,6,1
GIL,2,Aquele abraco,major,15,1,3
GIL,2,Aquele abraco,major,16,6,1
GIL,2,Aquele abraco,major,17,1,3
GIL,2,Aquele abraco,major,18,6,1
GIL,2,Aquele abraco,major,19,5,x
GIL,2,Aquele abraco,major,20,#4/b5,3
GIL,2,Aquele abraco,major,21,2,1
GIL,2,Aquele abraco,major,22,1,7
GIL,2,Aquele abraco,major,23,1,3
GIL,2,Aquele abraco,major,24,6,1
