corpus_id,composition_id,composition_name,word_index,c_word,r_word
JOBIM,1,Absolute Lee,1,uPPaPPppp,bbbaakdkdb
JOBIM,1,Absolute Lee,2,uPauPPppp,bbbbafdkdb
JOBIM,1,Absolute Lee,3,uuuPa,kdbbb
JOBIM,1,Absolute Lee,4,PPppp,fdkdb
JOBIM,1,Absolute Lee,5,uuupu,kdbeb
JOBIM,1,Absolute Lee,6,PPAPPpPupA,fdkdbekdb
JOBIM,1,Absolute Lee,7,Pa,kd
JOBIM,1,Absolute Lee,8,PPppp,fdkdb
JOBIM,1,Absolute Lee,9,uuusS,kdbeb
JOBIM,1,Absolute Lee,10,PPppp,fdkdb
JOBIM,1,Absolute Lee,11,ppuu,jje
JOBIM,1,Absolute Lee,12,PPuu,jje
JOBIM,1,Absolute Lee,13,ppuu,jje
JOBIM,1,Absolute Lee,14,ppuuu,jjj
JOBIM,1,Absolute Lee,15,PupAupPupAuupA,ejejejeqeb
JOBIM,1,Absolute Lee,16,ApSuu,ebejb
JOBIM,1,Absolute Lee,17,ppPPuppPPuppaP,obbbobebobj
JOBIM,1,Absolute Lee,18,PPaP,obj
JOBIM,1,Absolute Lee,19,PPaAa,obje
JOBIM,1,Absolute Lee,20,Pp,ebb
JOBIM,1,Absolute Lee,21,PPuu,jkd
JOBIM,1,Absolute Lee,22,Suu,bkd
JOBIM,1,Absolute Lee,23,Suu,bkd
JOBIM,1,Absolute Lee,24,Suu,bkd
JOBIM,1,Absolute Lee,25,PPaa,jbbb
JOBIM,1,Absolute Lee,26,PpAp,ejbb
JOBIM,1,Absolute Lee,27,uaAAau,bbbabbj
JOBIM,1,Absolute Lee,28,Aau,bbj
JOBIM,1,Absolute Lee,29,PPuuuu,jjje
JOBIM,1,Absolute Lee,30,uuAaAa,ejjbb
JOBIM,2,Agua de beber,1,AAp,pn
JOBIM,2,Agua de beber,2,aaAa,bbnc
JOBIM,2,Agua de beber,3,AAA,pn
JOBIM,2,Agua de beber,4,apP,bbn
JOBIM,2,Agua de beber,5,AAp,pn
JOBIM,2,Agua de beber,6,aPpa,bbnc
JOBIM,2,Agua de beber,7,uuuPppaAApp,nnmlnn
JOBIM,2,Agua de beber,8,uAAp,pq
JOBIM,2,Agua de beber,9,ppaAauu,pqu
JOBIM,2,Agua de beber,10,uAAp,pq
JOBIM,2,Agua de beber,11,ppaAauu,pqu
JOBIM,2,Agua de beber,12,AApp,pnb
JOBIM,2,Agua de beber,13,aaAa,bbnc
JOBIM,2,Agua de beber,14,AAA,pn
JOBIM,2,Agua de beber,15,apP,bbn
JOBIM,2,Agua de beber,16,AApp,pnb
JOBIM,2,Agua de beber,17,aPpa,bbnc
JOBIM,2,Agua de beber,18,uuPpp,gnmb
JOBIM,2,Agua de beber,19,AApp,gnn
JOBIM,2,Agua de beber,20,uAAp,pq
JOBIM,2,Agua de beber,21,ppaAauu,pqu
JOBIM,2,Agua de beber,22,uAAp,pq
JOBIM,2,Agua de beber,23,ppaAauu,pqu
JOBIM,3,Ai quem me dera,1,SapaSapaSapaAAp,uvvvb
JOBIM,3,Ai quem me dera,2,SapaSapppPPppPA,uvvvb
JOBIM,3,Ai quem me dera,3,SppppPP,uvb
JOBIM,3,Ai quem me dera,4,SppppPP,uvb
JOBIM,3,Ai quem me dera,5,SapaSapPPPp,uvvb
JOBIM,3,Ai quem me dera,6,uppppPPApppPP,gvvvb
JOBIM,3,Ai quem me dera,7,uppppPPApppPP,gvvvb
JOBIM,3,Ai quem me dera,8,uppppPPApppPP,gvvvb
JOBIM,3,Ai quem me dera,9,SapaSapPPPp,uvvb
JOBIM,4,Angela,1,Pp,s
JOBIM,4,Angela,2,ApppppAu,ejjbej
JOBIM,4,Angela,3,ApppppAu,ejjbej
JOBIM,4,Angela,4,ApppaPP,ejjbbb
JOBIM,4,Angela,5,PPP,bbbb
JOBIM,4,Angela,6,ApppppAu,ejjbej
JOBIM,4,Angela,7,ApppppAu,ejjbej
JOBIM,4,Angela,8,ApppaPA,ejjbbb
JOBIM,4,Angela,9,Pp,s
JOBIM,4,Angela,10,ApppppSPp,ejjbbs
JOBIM,4,Angela,11,ApppppSPp,ejjbbs
JOBIM,4,Angela,12,ApppauPu,ejjjeb
JOBIM,4,Angela,13,pPp,es
JOBIM,5,Bebel,1,Sps,bbabb
JOBIM,5,Bebel,2,Sps,bbabb
JOBIM,5,Bebel,3,Sps,bbabb
JOBIM,5,Bebel,4,Sps,bbabb
JOBIM,5,Bebel,5,Sps,bbabb
JOBIM,5,Bebel,6,Sps,bbabb
JOBIM,5,Bebel,7,SpA,bbabb
JOBIM,5,Bebel,8,ppA,bbabb
JOBIM,5,Bebel,9,A,bb
JOBIM,5,Bebel,10,A,bb
JOBIM,5,Bebel,11,PpA,nan
JOBIM,5,Bebel,12,PpAaA,nnn
JOBIM,5,Bebel,13,PPPpA,gran
JOBIM,5,Bebel,14,PPPpAaP,srn
JOBIM,5,Bebel,15,PPPaS,sbn
JOBIM,5,Bebel,16,psPPPAu,gnnng
JOBIM,5,Bebel,17,aPPAP,nnn
JOBIM,5,Bebel,18,aAP,sb
JOBIM,5,Bebel,19,aapAa,sr
JOBIM,5,Bebel,20,pupPupP,gtv
JOBIM,5,Bebel,21,pPupP,pv
JOBIM,5,Bebel,22,aPPaPP,utb
JOBIM,5,Bebel,23,pupPupP,etv
JOBIM,5,Bebel,24,pPupP,pv
JOBIM,5,Bebel,25,pPaPS,ptb
JOBIM,5,Bebel,26,paPP,esb
JOBIM,5,Bebel,27,PaPP,fsb
JOBIM,5,Bebel,28,ppuu,fsb
JOBIM,5,Bebel,29,ppuu,fsb
JOBIM,5,Bebel,30,ppu,fs
JOBIM,5,Bebel,31,pp,gj
JOBIM,5,Bebel,32,pp,dj
JOBIM,6,Bonita,1,ppP,pn
JOBIM,6,Bonita,2,PpPu,papc
JOBIM,6,Bonita,3,AsppaAa,pnpn
JOBIM,6,Bonita,4,PPPPaP,jjjb
JOBIM,6,Bonita,5,PpPu,papc
JOBIM,6,Bonita,6,AsppaAa,pnejb
JOBIM,6,Bonita,7,ppP,pn
JOBIM,6,Bonita,8,PpPu,papc
JOBIM,6,Bonita,9,AsppaAa,pnnn
JOBIM,6,Bonita,10,PPPPaP,ntn
JOBIM,6,Bonita,11,Pu,pc
JOBIM,6,Bonita,12,aAppaAa,sjjb
JOBIM,6,Bonita,13,usPu,lnc
JOBIM,6,Bonita,14,PaPppu,sbgh
JOBIM,6,Bonita,15,Pu,gh
JOBIM,6,Bonita,16,PaP,nn
JOBIM,6,Bonita,17,PApsS,nnaeb
JOBIM,6,Bonita,18,Pu,gh
JOBIM,6,Bonita,19,PupPu,ghgh
JOBIM,6,Bonita,20,Pu,gh
JOBIM,6,Bonita,21,Pu,gh
JOBIM,6,Bonita,22,PPaa,gln
JOBIM,6,Bonita,23,Apuu,gcq
JOBIM,6,Bonita,24,uP,ebaaab
JOBIM,7,Brigas nunca mais,1,PpP,naeb
JOBIM,7,Brigas nunca mais,2,PPppp,nnj
JOBIM,7,Brigas nunca mais,3,PPP,pn
JOBIM,7,Brigas nunca mais,4,P,eb
JOBIM,7,Brigas nunca mais,5,PPppp,nnj
JOBIM,7,Brigas nunca mais,6,PPPappp,pnnj
JOBIM,7,Brigas nunca mais,7,paSuu,pnn
JOBIM,7,Brigas nunca mais,8,aPPAP,nnn
JOBIM,7,Brigas nunca mais,9,sP,nag
JOBIM,7,Brigas nunca mais,10,PpP,naeb
JOBIM,7,Brigas nunca mais,11,PPppp,nnj
JOBIM,7,Brigas nunca mais,12,PPP,pn
JOBIM,7,Brigas nunca mais,13,P,eb
JOBIM,7,Brigas nunca mais,14,PPppp,nnj
JOBIM,7,Brigas nunca mais,15,PPPappS,pnnj
JOBIM,7,Brigas nunca mais,16,ppS,pn
JOBIM,7,Brigas nunca mais,17,pPpp,nnc
JOBIM,7,Brigas nunca mais,18,aA,bbb
JOBIM,7,Brigas nunca mais,19,Pap,bbbb
JOBIM,7,Brigas nunca mais,20,apPa,bbbn
JOBIM,8,Caminho de pedra,1,aaP,bjb
JOBIM,8,Caminho de pedra,2,ApaaP,jbjb
JOBIM,8,Caminho de pedra,3,aAp,bjb
JOBIM,8,Caminho de pedra,4,APAApAp,jbjbbb
JOBIM,8,Caminho de pedra,5,aaP,bjb
JOBIM,8,Caminho de pedra,6,ApaaP,jbjb
JOBIM,8,Caminho de pedra,7,aAp,bjb
JOBIM,8,Caminho de pedra,8,APAApAp,jbjbbb
JOBIM,8,Caminho de pedra,9,Sppp,ebjb
JOBIM,8,Caminho de pedra,10,PPaPu,jbjb
JOBIM,8,Caminho de pedra,11,ApppaApa,jbjbjb
JOBIM,8,Caminho de pedra,12,Sppp,ebjb
JOBIM,8,Caminho de pedra,13,ppPPP,jbjb
JOBIM,8,Caminho de pedra,14,PPaaPApa,jbjbjb
