corpus_id,composition_id,composition_name,chord_index,root,bass,chord_type,chord_symbol,functional_category,key,mode,position
LINS,1,A cor do por do sol,1,11,11,z2.1,*m7.9.11,I,11,minor,1.0
LINS,1,A cor do por do sol,2,6,6,z0,*m7,Vm7,11,minor,2.0
LINS,1,A cor do por do sol,3,11,11,z2.1,*m7.9.11,I,11,minor,3.0
LINS,1,A cor do por do sol,4,6,6,z0,*m7,Vm7,11,minor,4.0
LINS,1,A cor do por do sol,5,11,11,z2.1,*m7.9.11,I,11,minor,5.0
LINS,1,A cor do por do sol,6,6,6,z0,*m7,Vm7,11,minor,6.0
LINS,1,A cor do por do sol,7,9,9,Y4,*7.13,V/III,11,minor,6.5
LINS,1,A cor do por do sol,8,8,8,Y1.1,*4.7.9,V/II,11,minor,7.0
LINS,1,A cor do por do sol,9,8,8,Y2,*7.9,V/II,11,minor,7.5
LINS,1,A cor do por do sol,10,1,1,Y1.1.2,*4.7.9.13,V/V,11,minor,8.0
LINS,1,A cor do por do sol,11,1,1,Y0,*7,V/V,11,minor,8.5
LINS,1,A cor do por do sol,12,11,11,z2.1,*m7.9.11,I,11,minor,9.0
LINS,1,A cor do por do sol,13,6,6,z0,*m7,Vm7,11,minor,10.0
LINS,1,A cor do por do sol,14,11,11,z2.1,*m7.9.11,I,11,minor,11.0
LINS,1,A cor do por do sol,15,6,6,z0,*m7,Vm7,11,minor,12.0
LINS,1,A cor do por do sol,16,11,11,z2.1,*m7.9.11,I,11,minor,13.0
LINS,1,A cor do por do sol,17,6,6,z0,*m7,Vm7,11,minor,14.0
LINS,1,A cor do por do sol,18,9,9,Y4,*7.13,V/III,11,minor,14.5
LINS,1,A cor do por do sol,19,8,8,Y1.1,*4.7.9,V/II,11,minor,15.0
LINS,1,A cor do por do sol,20,8,8,Y2,*7.9,V/II,11,minor,15.5
LINS,1,A cor do por do sol,21,1,1,Y1.1.2,*4.7.9.13,V/V,11,minor,16.0
LINS,1,A cor do por do sol,22,1,1,Y0,*7,V/V,11,minor,16.5
LINS,1,A cor do por do sol,23,2,2,Z2,*M7.9,I,2,major,17.0
LINS,1,A cor do por do sol,24,11,3,Y0,*7,V/II,2,major,18.0
LINS,1,A cor do por do sol,25,9,4,V1,*4,V,2,major,19.0
LINS,1,A cor do por do sol,26,6,6,z2,*m7.9,III,2,major,19.5
LINS,1,A cor do por do sol,27,2,2,z2.1,*m7.9.11,II,0,major,20.0
LINS,1,A cor do por do sol,28,7,7,Y2.2,*7.9.13,V,0,major,20.5
LINS,1,A cor do por do sol,29,0,0,Z2,*M7.9,I,0,major,21.0
LINS,1,A cor do por do sol,30,0,0,Z2,*M7.9,bII7M,11,minor,21.5
LINS,1,A cor do por do sol,31,6,6,z2,*m7.9,II__X,11,minor,22.0
LINS,1,A cor do por do sol,32,11,11,Y0,*7,V/IV,11,minor,22.5
LINS,1,A cor do por do sol,33,4,4,Y1.1,*4.7.9,IV7,11,minor,23.0
LINS,1,A cor do por do sol,34,8,8,y0,*Ø,II__X,11,minor,24.0
LINS,1,A cor do por do sol,35,1,1,Y2.3,*7(b9),V/V,11,minor,24.5
LINS,1,A cor do por do sol,36,11,11,z2.1,*m7.9.11,I,11,minor,25.0
LINS,1,A cor do por do sol,37,6,6,z0,*m7,Vm7,11,minor,26.0
LINS,1,A cor do por do sol,38,11,11,z2.1,*m7.9.11,I,11,minor,27.0
LINS,1,A cor do por do sol,39,6,6,z0,*m7,Vm7,11,minor,28.0
LINS,1,A cor do por do sol,40,11,11,z2.1,*m7.9.11,I,11,minor,29.0
LINS,1,A cor do por do sol,41,6,6,z0,*m7,Vm7,11,minor,30.0
LINS,1,A cor do por do sol,42,9,9,Y4,*7.13,V/III,11,minor,30.5
LINS,1,A cor do por do sol,43,8,8,Y1.1,*4.7.9,V/II,11,minor,31.0
LINS,1,A cor do por do sol,44,8,8,Y2,*7.9,V/II,11,minor,31.5
LINS,1,A cor do por do sol,45,1,1,Y1.1.2,*4.7.9.13,V/V,11,minor,32.0
LINS,1,A cor do por do sol,46,1,1,Y0,*7,V/V,11,minor,32.5
LINS,1,A cor do por do sol,47,6,6,z2,*m7.9,Vm7,11,minor,33.0
LINS,1,A cor do por do sol,48,7,7,z2,*m7.9,III,3,major,35.0
LINS,1,A cor do por do sol,49,3,3,Z2,*M7.9,I,3,major,36.0
LINS,1,A cor do por do sol,50,0,4,Y0,*7,V/II,3,major,37.0
LINS,1,A cor do por do sol,51,10,5,V2,*9,V,3,major,38.0
LINS,1,A cor do por do sol,52,7,7,z2,*m7.9,III,3,major,38.5
LINS,1,A cor do por do sol,53,3,3,z2.1,*m7.9.11,II,1,major,39.0
LINS,1,A cor do por do sol,54,8,8,Y2.2,*7.9.13,V,1,major,39.5
LINS,1,A cor do por do sol,55,1,1,Z2,*M7.9,I,1,major,40.0
LINS,1,A cor do por do sol,56,1,1,Z1.1,*6.9,I,1,major,40.5
LINS,1,A cor do por do sol,57,7,7,z2,*m7.9,II__X,1,major,41.0
LINS,1,A cor do por do sol,58,0,0,Y0,*7,V/III,1,major,41.5
LINS,1,A cor do por do sol,59,5,5,Y1.1,*4.7.9,V/VI,1,major,42.0
LINS,1,A cor do por do sol,60,9,9,y0,*Ø,II__X,0,minor,43.0
LINS,1,A cor do por do sol,61,2,2,Y2.3,*7(b9),V/V,0,minor,43.5
LINS,1,A cor do por do sol,62,0,0,z2.1,*m7.9.11,I,0,minor,44.0
LINS,1,A cor do por do sol,63,7,7,z0,*m7,Vm7,0,minor,45.0
LINS,1,A cor do por do sol,64,0,0,z2.1,*m7.9.11,I,0,minor,46.0
LINS,1,A cor do por do sol,65,7,7,z0,*m7,Vm7,0,minor,47.0
LINS,1,A cor do por do sol,66,0,0,z2.1,*m7.9.11,I,0,minor,48.0
LINS,1,A cor do por do sol,67,7,7,z0,*m7,Vm7,0,minor,49.0
LINS,1,A cor do por do sol,68,10,10,Y4.1,*7(b13),SubV/II,7,minor,49.5
LINS,1,A cor do por do sol,69,9,9,Y1.1,*4.7.9,V/V,7,minor,50.0
LINS,1,A cor do por do sol,70,9,9,Y2,*7.9,V/V,7,minor,50.5
LINS,1,A cor do por do sol,71,2,2,Y1.1.2,*4.7.9.13,V,7,minor,51.0
LINS,1,A cor do por do sol,72,2,2,Y0,*7,V,7,minor,51.5
LINS,1,A cor do por do sol,73,7,7,z2,*m7.9,I,7,minor,52.0
LINS,2,A noite,1,6,6,V0,*,I,6,major,1.0
LINS,2,A noite,2,6,6,Y0,*7,V/IV,6,major,1.5
LINS,2,A noite,3,11,3,Z0,*M7,IV,6,major,2.0
LINS,2,A noite,4,1,1,Y2,*7.9,V/V,6,major,2.5
LINS,2,A noite,5,11,6,z0,*m7,IVm7,6,major,3.0
LINS,2,A noite,6,11,6,z1,*m6,IVm7,6,major,3.5
LINS,2,A noite,7,11,6,z0,*m7,IVm7,6,major,4.0
LINS,2,A noite,8,11,6,z1,*m6,IVm7,6,major,4.5
LINS,2,A noite,9,4,4,z0,*m7,II__X,6,major,5.0
LINS,2,A noite,10,9,9,Y0,*7,SubV/II,6,major,5.5
LINS,2,A noite,11,8,8,z2,*m7.9,II,6,major,6.0
LINS,2,A noite,12,1,1,Y4,*7.13,V,6,major,6.5
LINS,2,A noite,13,6,6,Z0,*M7,I,6,major,7.0
LINS,2,A noite,14,9,9,Y4,*7.13,SubV/II,6,major,7.5
LINS,2,A noite,15,8,8,z0,*m7,II,6,major,8.0
LINS,2,A noite,16,10,10,z0,*m7,III,6,major,8.25
LINS,2,A noite,17,11,11,z0,*m7,II,9,major,8.5
LINS,2,A noite,18,4,4,Y2,*7.9,V,9,major,8.75
LINS,2,A noite,19,9,9,Z0,*M7,I,9,major,9.0
LINS,2,A noite,20,9,9,Y4,*7.13,V/IV,9,major,9.5
LINS,2,A noite,21,2,9,Z0,*M7,IV,9,major,10.0
LINS,2,A noite,22,7,7,Y1.1,*4.7.9,bVII7,9,major,10.5
LINS,2,A noite,23,7,7,Y2,*7.9,bVII7M,9,major,10.75
LINS,2,A noite,24,9,4,Z0,*M7,I,9,major,11.0
LINS,2,A noite,25,1,1,Y2.4,*7(#9),V/VI,9,major,11.5
LINS,2,A noite,26,6,6,z0,*m7,VI,9,major,12.0
LINS,2,A noite,27,9,4,Y0,*7,V/IV,9,major,12.5
LINS,2,A noite,28,3,3,y0,*Ø,II__X,9,major,13.0
LINS,2,A noite,29,8,8,W0,*(#5)7,V/III,9,major,13.5
