corpus_id,composition_id,composition_name,word_index,c_word,r_word
MILTON,1,A sede do peixe,1,uAPP,baaakeb
MILTON,1,A sede do peixe,2,pup,eaej
MILTON,1,A sede do peixe,3,PppP,ebaeeb
MILTON,1,A sede do peixe,4,pa,eaaee
MILTON,1,A sede do peixe,5,uAPP,baaakeb
MILTON,1,A sede do peixe,6,pup,eaej
MILTON,1,A sede do peixe,7,PppP,ebaeeb
MILTON,1,A sede do peixe,8,pa,eabb
MILTON,1,A sede do peixe,9,uAPPp,eaaaakdbab
MILTON,1,A sede do peixe,10,paP,kdb
MILTON,1,A sede do peixe,11,Ap,ej
MILTON,1,A sede do peixe,12,AApa,eeebb
MILTON,2,A terceira margem do rio,1,AuAuu,jjbb
MILTON,2,A terceira margem do rio,2,uuuuuu,ejjj
MILTON,2,A terceira margem do rio,3,AuAuu,jjbb
MILTON,2,A terceira margem do rio,4,uupp,ejbb
MILTON,2,A terceira margem do rio,5,AuAuu,jjbb
MILTON,2,A terceira margem do rio,6,uuuuuu,ejjj
MILTON,2,A terceira margem do rio,7,AuAuu,jjbb
MILTON,2,A terceira margem do rio,8,uupp,ejbb
MILTON,2,A terceira margem do rio,9,uuuuu,jjbb
MILTON,2,A terceira margem do rio,10,uuaupu,ejjj
MILTON,2,A terceira margem do rio,11,uuuuu,jjbb
MILTON,2,A terceira margem do rio,12,uuPupu,ejjj
MILTON,2,A terceira margem do rio,13,uuuuu,jjbb
MILTON,2,A terceira margem do rio,14,uuaupPup,ejkdfabaaab
MILTON,2,A terceira margem do rio,15,AuAAuu,jjjb
MILTON,2,A terceira margem do rio,16,uuuPPp,ejkj
MILTON,2,A terceira margem do rio,17,AuAAu,jjbb
MILTON,2,A terceira margem do rio,18,uuuAup,ejjj
MILTON,2,A terceira margem do rio,19,AuAA,jjb
MILTON,2,A terceira margem do rio,20,puuuPPP,eejjj
MILTON,2,A terceira margem do rio,21,AuAAuu,jjjb
MILTON,2,A terceira margem do rio,22,uuPp,ejbb
MILTON,2,A terceira margem do rio,23,uuuuu,jjbb
MILTON,2,A terceira margem do rio,24,uuaupu,ejjj
MILTON,2,A terceira margem do rio,25,uuuuu,jjbb
MILTON,2,A terceira margem do rio,26,uuPupu,ejjj
MILTON,2,A terceira margem do rio,27,uuuuu,jjbb
MILTON,2,A terceira margem do rio,28,uuaupuPp,ejjjbaaab
MILTON,2,A terceira margem do rio,29,uuuuu,jjbb
MILTON,2,A terceira margem do rio,30,uuAupu,ejjj
MILTON,2,A terceira margem do rio,31,uuuuu,jjbb
MILTON,2,A terceira margem do rio,32,uuaupu,ejjj
MILTON,2,A terceira margem do rio,33,uuuuu,jjbb
MILTON,2,A terceira margem do rio,34,pPpupuu,eojjb
MILTON,3,Amor amigo,1,uuPpa,oiafb
MILTON,3,Amor amigo,2,uuuuSpP,fibjaai
MILTON,3,Amor amigo,3,uuPpa,fso
MILTON,3,Amor amigo,4,uuuuS,gsi
MILTON,3,Amor amigo,5,uPpP,bjai
MILTON,3,Amor amigo,6,uuuuuAap,goskb
MILTON,3,Amor amigo,7,pPupPPpa,osio
MILTON,3,Amor amigo,8,PuaP,esb
MILTON,3,Amor amigo,9,aPPaa,jjeb
MILTON,3,Amor amigo,10,uuuuuPpu,ossb
MILTON,3,Amor amigo,11,uuPpuPpS,osin
MILTON,4,Cais,1,puPuPu,oiob
MILTON,4,Cais,2,PPa,kdb
MILTON,4,Cais,3,PPapuAuAu,kdbebjaj
MILTON,4,Cais,4,PPapuPuPu,ebddjkdb
MILTON,4,Cais,5,PPa,ejb
MILTON,4,Cais,6,PPa,ebee
MILTON,4,Cais,7,PPppp,jeat
MILTON,4,Cais,8,puPuPu,ojeeb
MILTON,4,Cais,9,PPa,ejb
MILTON,4,Cais,10,PPa,ebee
MILTON,4,Cais,11,PPppp,jeat
MILTON,5,Cancao amiga,1,uuAupu,jbbjb
MILTON,5,Cancao amiga,2,uupuPupua,jjbjebb
MILTON,5,Cancao amiga,3,uupPupup,jjebje
MILTON,5,Cancao amiga,4,auAuPPuA,jjbbbbe
MILTON,5,Cancao amiga,5,uAuuPpa,ejjebe
MILTON,5,Cancao amiga,6,uuPppuap,jjbbbbb
MILTON,5,Cancao amiga,7,uuPaPup,jjabbbb
MILTON,5,Cancao amiga,8,uuauupuP,jbjjbb
MILTON,5,Cancao amiga,9,uuPuPup,jjeebae
MILTON,5,Cancao amiga,10,upuPpu,ejbbaj
MILTON,5,Cancao amiga,11,uuPuPu,ejjeb
MILTON,5,Cancao amiga,12,PuPuPua,eebjebb
MILTON,5,Cancao amiga,13,uuPupup,jbjebb
MILTON,5,Cancao amiga,14,uuuupuap,jjbjeb
MILTON,5,Cancao amiga,15,PuauPup,jbjebb
MILTON,5,Cancao amiga,16,SupuuuP,jbbbbbb
MILTON,6,Catavento,1,PPPpppppp,prnjb
MILTON,6,Catavento,2,upPP,nnb
MILTON,6,Catavento,3,PPPpppppp,prnjb
MILTON,6,Catavento,4,upPP,nnb
MILTON,6,Catavento,5,PPauuPPau,prnjb
MILTON,6,Catavento,6,SpPa,nnb
MILTON,6,Catavento,7,PPauuPPau,prnjb
MILTON,6,Catavento,8,SpPP,nnb
MILTON,6,Catavento,9,PPPpppppP,prnjb
MILTON,6,Catavento,10,Apuu,nnb
MILTON,6,Catavento,11,PPPppp,prn
MILTON,6,Catavento,12,PPPppp,prn
MILTON,6,Catavento,13,PPPppp,prn
MILTON,6,Catavento,14,pPP,gnb
MILTON,7,Caxanga,1,uuuPp,rjaab
MILTON,7,Caxanga,2,uuuPP,rjab
MILTON,7,Caxanga,3,auppapPu,erjej
MILTON,7,Caxanga,4,auppapPu,erjej
MILTON,7,Caxanga,5,uuAPp,jjj
MILTON,7,Caxanga,6,Apuuppu,jtmb
MILTON,7,Caxanga,7,uuuupu,ejjj
MILTON,7,Caxanga,8,uPPPp,jjj
MILTON,7,Caxanga,9,AppAuppp,jtnj
MILTON,7,Caxanga,10,Puupu,jjj
MILTON,7,Caxanga,11,uPPPp,jjj
MILTON,7,Caxanga,12,AppAuppp,jtnj
MILTON,7,Caxanga,13,uPuuu,jjj
MILTON,8,Clube da Esquina 2,1,PuAuupu,pnjj
MILTON,8,Clube da Esquina 2,2,SupuPup,lnjj
MILTON,8,Clube da Esquina 2,3,AuupuPp,lnjj
MILTON,8,Clube da Esquina 2,4,PPaapP,pnt
MILTON,8,Clube da Esquina 2,5,papPpP,ntm
MILTON,8,Clube da Esquina 2,6,PpPpPpPpPpPpP,rtmrt
MILTON,8,Clube da Esquina 2,7,Sps,babbb
MILTON,8,Clube da Esquina 2,8,paA,bbbe
MILTON,8,Clube da Esquina 2,9,u,be
MILTON,9,Coracao civil,1,uuuuu,jbjb
MILTON,9,Coracao civil,2,pauAa,ejbbb
MILTON,9,Coracao civil,3,uuuuu,jbjb
MILTON,9,Coracao civil,4,pauAa,ejbbb
MILTON,9,Coracao civil,5,PPuupppuuuA,lbbjjbjb
MILTON,9,Coracao civil,6,PPuuuppaAuu,jbjjjbbb
MILTON,9,Coracao civil,7,uu,jb
MILTON,9,Coracao civil,8,AuuupppPpuppp,grjjrnb
MILTON,9,Coracao civil,9,uuu,rb
MILTON,9,Coracao civil,10,AuuupppuPpuppp,grtntmb
MILTON,9,Coracao civil,11,uuupuuuu,ttmb
MILTON,9,Coracao civil,12,uuuupupp,pmtj
MILTON,9,Coracao civil,13,PPuAuu,ttb
MILTON,9,Coracao civil,14,auu,gmb
MILTON,9,Coracao civil,15,uuuaAuu,ptlb
MILTON,9,Coracao civil,16,uupPp,glmb
MILTON,10,Credo,1,uuuuuu,jks
MILTON,10,Credo,2,uauuup,ejjbb
MILTON,10,Credo,3,uuuuuuuuuu,jjjjt
MILTON,10,Credo,4,upP,es
MILTON,10,Credo,5,p,bb
MILTON,10,Credo,6,uuuuuu,jks
MILTON,10,Credo,7,uauuuP,ejajbb
MILTON,10,Credo,8,P,eb
MILTON,10,Credo,9,puuuuuuuuuuau,ejjjjjjb
MILTON,10,Credo,10,uuuuuuuauuupp,jjjjjjbb
MILTON,10,Credo,11,uuuuuuuauuupp,jjjjjjbb
MILTON,11,Crenca,1,AAAu,ebbbb
MILTON,11,Crenca,2,Pp,eeab
MILTON,11,Crenca,3,PAapppAPa,ejeeejbe
MILTON,11,Crenca,4,pPA,ebj
MILTON,11,Crenca,5,uup,kdb
MILTON,11,Crenca,6,pPPppppu,oigoi
MILTON,11,Crenca,7,AApPPu,ejaeebe
MILTON,11,Crenca,8,AAApPP,jjeabb
MILTON,11,Crenca,9,AAAuApa,ebbbbbbe
MILTON,11,Crenca,10,aaSppP,kdbbbb
MILTON,11,Crenca,11,ppuPaPpp,fdbebeje
MILTON,11,Crenca,12,Ppu,idb
MILTON,12,Danca dos meninos,1,ppupP,jjj
MILTON,12,Danca dos meninos,2,upPPuP,jsm
MILTON,12,Danca dos meninos,3,pupP,gjj
