corpus_id,composition_id,composition_name,chord_index,root,bass,chord_type,chord_symbol,functional_category,key,mode,position
MILTON,1,A sede do peixe,1,9,9,z0,*m7,I,9,minor,1.0
MILTON,1,A sede do peixe,2,11,9,Y0,*7,V/V,9,minor,5.0
MILTON,1,A sede do peixe,3,10,9,Z0,*M7,bII7M,9,minor,6.0
MILTON,1,A sede do peixe,4,9,9,z0,*m7,I,9,minor,7.0
MILTON,1,A sede do peixe,5,4,9,z2,*m7.9,Vm7,9,minor,8.0
MILTON,1,A sede do peixe,6,9,9,z0,*m7,I,9,minor,9.0
MILTON,1,A sede do peixe,7,2,9,V0,*,IV7,9,minor,10.0
MILTON,1,A sede do peixe,8,4,9,V0,*,V,9,minor,11.0
MILTON,1,A sede do peixe,9,9,9,z0,*m7,I,9,minor,12.0
MILTON,1,A sede do peixe,10,11,9,Y0,*7,V/V,9,minor,13.0
MILTON,1,A sede do peixe,11,10,9,Z0,*M7,bII7M,9,minor,14.0
MILTON,1,A sede do peixe,12,9,9,z0,*m7,I,9,minor,15.0
MILTON,1,A sede do peixe,13,4,9,z2,*m7.9,Vm7,9,minor,16.0
MILTON,1,A sede do peixe,14,2,2,z2,*m7.9,IV,9,minor,17.0
MILTON,1,A sede do peixe,15,4,4,z2,*m7.9,Vm7,9,minor,19.0
MILTON,1,A sede do peixe,16,2,2,V3,*(#11),IV7,9,minor,21.0
MILTON,1,A sede do peixe,17,2,2,V0,*,IV7,9,minor,22.0
MILTON,1,A sede do peixe,18,2,2,z2,*m7.9,IV,9,minor,23.0
MILTON,1,A sede do peixe,19,4,4,z2,*m7.9,Vm7,9,minor,23.5
MILTON,1,A sede do peixe,20,7,5,Y0,*7,bVII7,9,minor,24.0
MILTON,1,A sede do peixe,21,9,9,V3,*(#11),I,9,minor,25.0
MILTON,2,A terceira margem do rio,1,4,4,z2,*m7.9,I,4,minor,1.0
MILTON,2,A terceira margem do rio,2,4,4,z1.1,*m6.9,I,4,minor,2.0
MILTON,2,A terceira margem do rio,3,4,4,z2,*m7.9,I,4,minor,3.0
MILTON,2,A terceira margem do rio,4,4,4,z1.1,*m6.9,I,4,minor,4.0
MILTON,2,A terceira margem do rio,5,4,4,z2,*m7.9,I,4,minor,5.0
MILTON,2,A terceira margem do rio,6,4,4,z1.1,*m6.9,I,4,minor,6.0
MILTON,2,A terceira margem do rio,7,4,4,z2,*m7.9,I,4,minor,7.0
MILTON,2,A terceira margem do rio,8,4,4,z1.1,*m6.9,I,4,minor,8.0
MILTON,2,A terceira margem do rio,9,0,0,V0,*,bVII7M,2,major,9.0
MILTON,2,A terceira margem do rio,10,2,2,V0,*,I,2,major,10.0
MILTON,2,A terceira margem do rio,11,11,11,v0,*m,VI,2,major,10.25
MILTON,2,A terceira margem do rio,12,9,9,v0,*m,Vm7,2,major,10.75
MILTON,2,A terceira margem do rio,13,0,0,V0,*,bVII7M,2,major,11.0
MILTON,2,A terceira margem do rio,14,2,2,V0,*,I,2,major,12.0
MILTON,2,A terceira margem do rio,15,4,4,v0,*m,II,2,major,12.5
MILTON,2,A terceira margem do rio,16,2,2,V0,*,I,2,major,12.75
MILTON,2,A terceira margem do rio,17,0,0,V0,*,bVII7M,2,major,13.0
MILTON,2,A terceira margem do rio,18,2,2,V0,*,I,2,major,14.0
MILTON,2,A terceira margem do rio,19,11,11,v0,*m,VI,2,major,14.5
MILTON,2,A terceira margem do rio,20,9,9,v0,*m,Vm7,2,major,14.75
MILTON,2,A terceira margem do rio,21,2,2,V0,*,I,2,major,15.0
MILTON,2,A terceira margem do rio,22,4,4,z2,*m7.9,I,4,minor,17.0
MILTON,3,Amor amigo,1,2,2,z2,*m7.9,I,2,minor,1.0
