corpus_id,composition_id,composition_name,mode,note_index,scale_degree,note_function
MILTON,1,A sede do peixe,minor,1,5,5
MILTON,1,A sede do peixe,minor,2,b7,7
MILTON,1,A sede do peixe,minor,3,1,1
MILTON,1,A sede do peixe,minor,4,2,9
MILTON,1,A sede do peixe,minor,5,3,3
MILTON,1,A sede do peixe,minor,6,2,x
MILTON,1,A sede do peixe,minor,7,1,1
MILTON,1,A sede do peixe,minor,8,b7,7
MILTON,1,A sede do peixe,minor,9,1,7
MILTON,1,A sede do peixe,minor,10,b7,x
MILTON,1,A sede do peixe,minor,11,6,5
MILTON,1,A sede do peixe,minor,12,b7,6
MILTON,1,A sede do peixe,minor,13,1,7
MILTON,1,A sede do peixe,minor,14,b7,5
MILTON,1,A sede do peixe,minor,15,5,3
MILTON,1,A sede do peixe,minor,16,1,5
MILTON,1,A sede do peixe,minor,17,3,7
MILTON,1,A sede do peixe,minor,18,4,x
MILTON,1,A sede do peixe,minor,19,5,1
MILTON,1,A sede do peixe,minor,20,4,7
MILTON,1,A sede do peixe,minor,21,3,x
MILTON,1,A sede do peixe,minor,22,2,5
MILTON,1,A sede do peixe,minor,23,b7,3
MILTON,1,A sede do peixe,minor,24,1,5
MILTON,1,A sede do peixe,minor,25,b7,11
MILTON,1,A sede do peixe,minor,26,2,x
MILTON,1,A sede do peixe,minor,27,1,5
MILTON,1,A sede do peixe,minor,28,1,11
MILTON,1,A sede do peixe,minor,29,1,9
MILTON,1,A sede do peixe,minor,30,b7,1
MILTON,1,A sede do peixe,minor,31,2,3
MILTON,1,A sede do peixe,minor,32,4,5
MILTON,1,A sede do peixe,minor,33,#3,3
MILTON,1,A sede do peixe,minor,34,1,1
MILTON,2,A terceira margem do rio,minor,1,1,1
MILTON,2,A terceira margem do rio,minor,2,3,3
MILTON,2,A terceira margem do rio,minor,3,5,5
MILTON,2,A terceira margem do rio,minor,4,2,9
MILTON,2,A terceira margem do rio,minor,5,1,1
MILTON,2,A terceira margem do rio,minor,6,3,3
MILTON,2,A terceira margem do rio,minor,7,5,5
MILTON,2,A terceira margem do rio,minor,8,2,9
MILTON,2,A terceira margem do rio,minor,9,1,1
MILTON,2,A terceira margem do rio,minor,10,b7,7
MILTON,2,A terceira margem do rio,minor,11,1,1
MILTON,2,A terceira margem do rio,minor,12,3,3
MILTON,2,A terceira margem do rio,minor,13,5,5
MILTON,2,A terceira margem do rio,minor,14,2,9
MILTON,2,A terceira margem do rio,minor,15,1,1
MILTON,2,A terceira margem do rio,minor,16,3,3
MILTON,2,A terceira margem do rio,minor,17,5,5
MILTON,2,A terceira margem do rio,minor,18,2,9
MILTON,2,A terceira margem do rio,minor,19,1,1
MILTON,2,A terceira margem do rio,minor,20,b7,7
MILTON,3,Amor amigo,minor,1,3,3
MILTON,3,Amor amigo,minor,2,4,11
MILTON,3,Amor amigo,minor,3,3,3
MILTON,3,Amor amigo,minor,4,1,1
MILTON,3,Amor amigo,minor,5,1,7
MILTON,3,Amor amigo,minor,6,b7,b13
MILTON,3,Amor amigo,minor,7,6,x
MILTON,3,Amor amigo,minor,8,b7,5
MILTON,3,Amor amigo,minor,9,b7,#11
MILTON,3,Amor amigo,minor,10,b7,b9/#9
MILTON,3,Amor amigo,minor,11,b7,7
MILTON,3,Amor amigo,minor,12,4,11
MILTON,3,Amor amigo,minor,13,5,5
MILTON,3,Amor amigo,minor,14,4,11
MILTON,3,Amor amigo,minor,15,2,9
MILTON,3,Amor amigo,minor,16,1,1
MILTON,3,Amor amigo,minor,17,1,3
MILTON,3,Amor amigo,minor,18,3,5
MILTON,3,Amor amigo,minor,19,2,#11
MILTON,3,Amor amigo,minor,20,3,5
MILTON,3,Amor amigo,minor,21,2,x
MILTON,3,Amor amigo,minor,22,3,5
MILTON,3,Amor amigo,minor,23,1,3
MILTON,3,Amor amigo,minor,24,3,5
MILTON,3,Amor amigo,minor,25,1,x
MILTON,3,Amor amigo,minor,26,b7,5
MILTON,3,Amor amigo,minor,27,6,x
MILTON,3,Amor amigo,minor,28,b7,5
MILTON,3,Amor amigo,minor,29,6,x
MILTON,3,Amor amigo,minor,30,b7,5
MILTON,3,Amor amigo,minor,31,1,11
MILTON,3,Amor amigo,minor,32,b7,3
MILTON,3,Amor amigo,minor,33,5,1
MILTON,3,Amor amigo,minor,34,4,x
MILTON,3,Amor amigo,minor,35,5,1
MILTON,3,Amor amigo,minor,36,3,x
MILTON,3,Amor amigo,minor,37,4,11
MILTON,3,Amor amigo,minor,38,5,5
MILTON,3,Amor amigo,minor,39,3,3
MILTON,3,Amor amigo,minor,40,4,x
MILTON,3,Amor amigo,minor,41,5,9
MILTON,3,Amor amigo,minor,42,3,7
MILTON,3,Amor amigo,minor,43,1,5
MILTON,3,Amor amigo,minor,44,1,5
MILTON,3,Amor amigo,minor,45,2,x
MILTON,3,Amor amigo,minor,46,1,5
MILTON,3,Amor amigo,minor,47,1,11
MILTON,3,Amor amigo,minor,48,2,x
MILTON,3,Amor amigo,minor,49,1,1
MILTON,3,Amor amigo,minor,50,2,9
MILTON,3,Amor amigo,minor,51,1,1
MILTON,4,Cais,minor,1,4,11
MILTON,4,Cais,minor,2,3,3
MILTON,4,Cais,minor,3,4,x
MILTON,4,Cais,minor,4,5,5
MILTON,4,Cais,minor,5,#6,6
MILTON,4,Cais,minor,6,b7,x
MILTON,4,Cais,minor,7,1,1
MILTON,4,Cais,minor,8,5,5
MILTON,4,Cais,minor,9,#6,6
MILTON,4,Cais,minor,10,b7,x
MILTON,4,Cais,minor,11,1,1
MILTON,4,Cais,minor,12,5,#11
MILTON,4,Cais,minor,13,4,3
MILTON,4,Cais,minor,14,6,5
MILTON,4,Cais,minor,15,1,7
MILTON,4,Cais,minor,16,#1/b2,x
MILTON,4,Cais,minor,17,3,7
MILTON,4,Cais,minor,18,1,5
MILTON,4,Cais,minor,19,b7,11
MILTON,4,Cais,minor,20,1,5
MILTON,4,Cais,minor,21,2,7
MILTON,4,Cais,minor,22,3,1
MILTON,4,Cais,minor,23,4,9
MILTON,4,Cais,minor,24,1,9
MILTON,4,Cais,minor,25,#1/b2,3
MILTON,4,Cais,minor,26,3,x
MILTON,4,Cais,minor,27,4,7
MILTON,4,Cais,minor,28,1,9
MILTON,4,Cais,minor,29,#1/b2,3
MILTON,4,Cais,minor,30,3,x
MILTON,4,Cais,minor,31,4,7
MILTON,4,Cais,minor,32,3,3
MILTON,4,Cais,minor,33,2,x
MILTON,4,Cais,minor,34,1,1
MILTON,5,Cancao amiga,minor,1,1,1
MILTON,5,Cancao amiga,minor,2,3,3
MILTON,5,Cancao amiga,minor,3,2,9
MILTON,5,Cancao amiga,minor,4,1,1
MILTON,5,Cancao amiga,minor,5,b7,3
MILTON,5,Cancao amiga,minor,6,1,11
MILTON,5,Cancao amiga,minor,7,b7,3
MILTON,5,Cancao amiga,minor,8,5,1
MILTON,5,Cancao amiga,minor,9,5,x
MILTON,5,Cancao amiga,minor,10,4,1
MILTON,5,Cancao amiga,minor,11,5,9
MILTON,5,Cancao amiga,minor,12,4,1
MILTON,5,Cancao amiga,minor,13,3,7
MILTON,5,Cancao amiga,minor,14,3,5
MILTON,5,Cancao amiga,minor,15,1,3
MILTON,5,Cancao amiga,minor,16,3,5
MILTON,5,Cancao amiga,minor,17,4,7
MILTON,5,Cancao amiga,minor,18,5,6
MILTON,5,Cancao amiga,minor,19,b7,1
MILTON,5,Cancao amiga,minor,20,1,9
MILTON,5,Cancao amiga,minor,21,1,1
MILTON,5,Cancao amiga,minor,22,3,3
