corpus_id,composition_id,composition_name,chord_index,root,bass,chord_type,chord_symbol,functional_category,key,mode,position
RITA,1,Agora e moda,1,7,7,z0,*m7,I,7,minor,1.0
RITA,1,Agora e moda,2,5,5,z0,*m7,II__X,7,minor,9.0
RITA,1,Agora e moda,3,10,10,Y0,*7,V/VI,7,minor,9.5
RITA,1,Agora e moda,4,5,5,z0,*m7,II__X,7,minor,10.0
RITA,1,Agora e moda,5,10,10,Y0,*7,V/VI,7,minor,10.5
RITA,1,Agora e moda,6,7,7,z0,*m7,I,7,minor,11.0
RITA,2,Agora so falta voce,1,11,11,z0,*m7,VI,2,major,1.0
RITA,2,Agora so falta voce,2,7,7,V0,*,IV,2,major,2.0
RITA,2,Agora so falta voce,3,4,4,Y0,*7,V/V,2,major,3.0
RITA,2,Agora so falta voce,4,9,9,Y0,*7,V,2,major,4.0
RITA,2,Agora so falta voce,5,11,11,z0,*m7,VI,2,major,5.0
RITA,2,Agora so falta voce,6,7,7,V0,*,IV,2,major,6.0
RITA,2,Agora so falta voce,7,4,4,Y0,*7,V/V,2,major,7.0
RITA,2,Agora so falta voce,8,9,9,Y0,*7,V,2,major,8.0
RITA,2,Agora so falta voce,9,11,11,z0,*m7,VI,2,major,9.0
RITA,2,Agora so falta voce,10,7,7,V0,*,IV,2,major,10.0
RITA,2,Agora so falta voce,11,11,11,z0,*m7,VI,2,major,11.0
RITA,2,Agora so falta voce,12,9,9,Y0,*7,V,2,major,12.0
RITA,2,Agora so falta voce,13,7,7,V0,*,IV,2,major,13.0
RITA,2,Agora so falta voce,14,4,4,Y0,*7,V/V,2,major,14.0
RITA,2,Agora so falta voce,15,0,0,V0,*,bVII7M,2,major,15.0
RITA,2,Agora so falta voce,16,7,7,V0,*,IV,2,major,15.5
RITA,2,Agora so falta voce,17,2,2,V0,*,I,2,major,16.0
RITA,3,Bandido corazon,1,9,9,z0,*m7,II,7,major,1.0
RITA,3,Bandido corazon,2,2,2,Y0,*7,V,7,major,2.0
RITA,3,Bandido corazon,3,7,7,Z0,*M7,I,7,major,3.0
RITA,3,Bandido corazon,4,2,2,Y1,*4.7,V,7,major,4.0
RITA,3,Bandido corazon,5,9,9,z0,*m7,II,7,major,5.0
RITA,3,Bandido corazon,6,2,2,Y0,*7,V,7,major,6.0
RITA,3,Bandido corazon,7,11,11,Y0,*7,V/VI,7,major,7.0
RITA,3,Bandido corazon,8,4,4,z0,*m7,II__X,7,major,8.0
RITA,3,Bandido corazon,9,9,9,Y0,*7,V/V,7,major,9.0
RITA,3,Bandido corazon,10,9,9,z0,*m7,II,7,major,10.0
RITA,3,Bandido corazon,11,2,2,Y0,*7,V,7,major,11.0
RITA,3,Bandido corazon,12,7,7,Z0,*M7,I,7,major,12.0
RITA,3,Bandido corazon,13,9,9,z0,*m7,II,7,major,13.0
RITA,3,Bandido corazon,14,2,2,Y0,*7,V,7,major,14.0
RITA,3,Bandido corazon,15,11,11,Y0,*7,V/VI,7,major,15.0
RITA,3,Bandido corazon,16,4,4,z0,*m7,II__X,7,major,16.0
RITA,3,Bandido corazon,17,9,9,Y0,*7,V/V,7,major,17.0
RITA,3,Bandido corazon,18,9,9,z0,*m7,II,7,major,18.0
RITA,3,Bandido corazon,19,2,2,Y0,*7,V,7,major,19.0
RITA,3,Bandido corazon,20,7,7,Z0,*M7,I,7,major,20.0
RITA,4,Banho de espuma,1,0,0,Y0,*7,V,5,major,1.0
RITA,4,Banho de espuma,2,0,0,Y1.1,*4.7.9,V,5,major,2.0
RITA,4,Banho de espuma,3,0,0,Y2,*7.9,V,5,major,3.0
RITA,4,Banho de espuma,4,5,5,Z0,*M7,I,5,major,4.0
RITA,4,Banho de espuma,5,2,2,Y1.1,*4.7.9,V/II,5,major,5.0
RITA,4,Banho de espuma,6,2,2,Y2,*7.9,V/II,5,major,5.5
RITA,4,Banho de espuma,7,7,7,z0,*m7,II,5,major,6.0
