corpus_id,composition_id,composition_name,has_note_function,spotify_track_id,spotify_track_title,spotify_track_artist,spotify_duration_ms,spotify_match_status,isrc,musicbrainz_recording_count,musicbrainz_recording_id,musicbrainz_work_count,musicbrainz_work_id,musicbrainz_work_title,musicbrainz_match_status,musicbrainz_match_criteria
BOSCO,1,Agnus sei,true,6aBCNlHYCEfk7gk19r3gsQ,Agnus Sei - Live,"João Bosco, Milton Nascimento, Toninho Horta",373853,normalized,BRMUD1200015,0,,0,,,text_fallback_failed,not_found
BOSCO,2,Bala com bala,true,4aFCVIHtMnQBQY8eufxQbU,Bala Com Bala,"João Bosco, Aldir Blanc",136706,exact,BRBMG7300066,1,f6b9d8b7-35d8-4df4-be7f-1c4f94d4dbd5,1,3aeadba4-dd58-4f45-a53e-f83a6bc31ffb,Bala Com Bala,one_recording,isrc_exact_match
BOSCO,3,A nivel de,true,6XqBNBCqLypx0rubKLtkcC,A Nível De...,João Bosco,220066,exact,BRMCA0500178,10,386bc025-f3ca-4150-8c26-ce2869bbf1e0,0,,,text_fallback_several,text_oldest_match
BOSCO,4,De frente pro crime,true,3P43JdeNaPaRab6OCUDses,De Frente Pro Crime,"João Bosco, Aldir Blanc",129533,exact,BRBMG7500014,1,4a5990b0-fe94-45bf-b057-3c866b32eb8d,1,285c9313-5f0a-4479-baf9-b34291f5dc76,De frente pro crime,one_recording,isrc_exact_match
BOSCO,5,Boca de sapo,true,1rASuRGnqDs8aCtZgtFqu2,Boca De Sapo,João Bosco,194280,exact,BRBMG7900036,4,bb2f2d10-0ed6-4c14-89c6-92112a5a0f6c,0,,,text_fallback_several,text_oldest_match
BOSCO,6,Bijuterias,true,0KBgTC0pq3p0t4F4Vc7e9Q,Bijuterias,João Bosco,117600,exact,BRBMG7700187,4,af505c90-da55-4c9e-9545-6dedcb3ba493,0,,,text_fallback_several,text_oldest_match
BOSCO,7,Escadas da Penha,true,5nEgq6w7txlKPMG6J4vDBR,Escadas Da Penha,"João Bosco, Aldir Blanc",167826,exact,BRBMG7500028,1,d797e14d-065a-42b2-afd5-ddd79523b3bb,0,,,one_recording,isrc_exact_match
BOSCO,8,Casa de marimbondo,true,4pe8OR89Ni7Y34BuTnQXny,Casa De Marimbondo,"João Bosco, Aldir Blanc",160933,exact,BRBMG7500145,1,32a7bffb-5fb9-427f-ade1-87b30bae5153,0,,,one_recording,isrc_exact_match
BOSCO,9,Dois pra la dois pra ca,true,6zSGfGit15V0xewQwb7BUo,"Dois Pra Lá, Dois Pra Cá",Elis Regina,266733,exact,BRMCA7400172,19,c88cbe9a-dd1d-4ff4-84c2-e9494b0d08db,0,,,text_fallback_several,text_oldest_match
BOSCO,10,Falso brilhante,true,75VFTTczSJctvUvjcs3omG,Falso Brilhante,João Bosco,150373,exact,BRBMG7700126,3,7eaaa14f-c567-4d0f-93fe-63e60dad1dd8,0,,,text_fallback_several,text_oldest_match
BOSCO,11,Corsario,true,6w39DoFnSXnXjVmiZi4WCd,Corsário,Elis Regina,254460,exact,BRWMB9801411,8,e8956499-a9ee-4144-8c11-12324ed2232b,0,,,text_fallback_several,text_oldest_match
BOSCO,12,Feminismo no Estacio,true,3KIOGJLQbwdtKgKqeo9xnh,Feminismo No Estácio,João Bosco,207360,exact,BRBMG7600190,1,a7a6a146-c38c-4c0b-bbde-600abd194333,0,,,text_fallback_one,text_exact_match
BOSCO,13,Gol anulado,true,02WFmXcDCD4lb4k2JsSRzA,Gol Anulado,João Bosco,140600,exact,BRBMG7600115,2,0967084a-9fea-4579-913a-df2e78455664,0,,,text_fallback_several,text_oldest_match
