corpus_id,composer,spotify_playlist_id,spotify_playlist_url
JOBIM,Tom Jobim,7HDlN5BRxsGnOwp0NVLBGt,https://open.spotify.com/playlist/7HDlN5BRxsGnOwp0NVLBGt
LINS,Ivan Lins,5bewWfR5wUDizEZVUJcBQa,https://open.spotify.com/playlist/5bewWfR5wUDizEZVUJcBQa
CHICO,Chico Buarque,0BifNmWohJVSSl0HgMnbGk,https://open.spotify.com/playlist/0BifNmWohJVSSl0HgMnbGk
EDU,Edu Lobo,0nvyNKHMzHy83HRIwZymQr,https://open.spotify.com/playlist/0nvyNKHMzHy83HRIwZymQr
CAETANO,Caetano Veloso,7rIffYGLzaUnPM4dftNkPa,https://open.spotify.com/playlist/7rIffYGLzaUnPM4dftNkPa
DJAVAN,Djavan,4kKc4eHUMrOaWiGwsCj1uM,https://open.spotify.com/playlist/4kKc4eHUMrOaWiGwsCj1uM
BOSCO,João Bosco,4UZMRJeXRtLMburXqLwVLy,https://open.spotify.com/playlist/4UZMRJeXRtLMburXqLwVLy
MILTON,Milton Nascimento,3JfQIADWnWdsTKNgOi8Iex,https://open.spotify.com/playlist/3JfQIADWnWdsTKNgOi8Iex
GIL,Gilberto Gil,37QMF6EuxOneQTLlFgLORg,https://open.spotify.com/playlist/37QMF6EuxOneQTLlFgLORg
RITA,Rita Lee,5N3gtetTypnsFvI3Sl3bEQ,https://open.spotify.com/playlist/5N3gtetTypnsFvI3Sl3bEQ
