isrc,recording_count,recording_ids,work_count,work_ids,work_titles
BRMUD1200015,0,,0,,
BRBMG7300066,1,f6b9d8b7-35d8-4df4-be7f-1c4f94d4dbd5,1,3aeadba4-dd58-4f45-a53e-f83a6bc31ffb,Bala Com Bala
BRMCA0500178,0,,0,,
BRBMG7500014,1,4a5990b0-fe94-45bf-b057-3c866b32eb8d,1,285c9313-5f0a-4479-baf9-b34291f5dc76,De frente pro crime
BRBMG7900036,0,,0,,
BRBMG7700187,0,,0,,
BRBMG7500028,1,d797e14d-065a-42b2-afd5-ddd79523b3bb,0,,
BRBMG7500145,1,32a7bffb-5fb9-427f-ade1-87b30bae5153,0,,
BRMCA7400172,0,,0,,
BRBMG7700126,0,,0,,
BRWMB9801411,0,,0,,
BRBMG7600190,0,,0,,
BRBMG7600115,0,,0,,
BRVLS0200015,0,,0,,
BRBMG7500015,1,06f50058-ea70-41d2-a7cb-ee03e7fead83,1,4f695723-d8df-403f-a1e4-c8c884b5aa52,Kid Cavaquinho
BRBMG0900094,0,,0,,
BRBMG7900035,0,,0,,
BRSME8900004,0,,0,,
BRBMG7600044,0,,0,,
BRBMG7600041,0,,0,,
BRMCA7400023,0,,0,,
BRBMG7600116,0,,0,,
BRSME9100044,0,,0,,
BRSME8600088,0,,0,,
BRBMG7500191,1,5a98a779-46a0-4245-ae0e-c66eff7cd13b,0,,
BRBMG7600040,0,,0,,
BRSME0000297,0,,0,,
BRUM70601242,0,,0,,
BRMCA8200014,0,,0,,
BRSME8600012,0,,0,,
BRLUM9900002,0,,0,,
BRBMG7700186,0,,0,,
BRMCA0500180,0,,0,,
BRLUM9300009,0,,0,,
BRBMG7500194,1,184be948-49b3-40bb-873c-63b9c35334d9,0,,
BRMUD2000018,0,,0,,
BRMCA8200120,0,,0,,
BRWMB9701651,0,,0,,
BRSME8900073,0,,0,,
BRBMG8000183,0,,0,,
BRSME8500151,0,,0,,
BRPGD8400006,0,,0,,
BRBMG7500198,1,5a1917bf-9200-4d2a-a98d-2e3134673ba9,0,,
BRBMG8000189,0,,0,,
BRBMG8000190,0,,0,,
BRBMG0900099,0,,0,,
BRWMB9901229,0,,0,,
BRBMG7700127,0,,0,,
BRMCA7600129,1,7b0c688d-9803-44c6-a532-f0d1a17db205,0,,
BRMCA7700177,0,,0,,
BRUM70700055,0,,0,,
